expediente_id,municipio,tipo_proceso,despacho,anio_radicacion,ivf_score,carga_despacho,n_audiencias,apelacion,duracion_dias,terminado,tipo_proceso_enc,despacho_enc,duracion_estimada,p75_duracion,riesgo
CAL-04979,CALI,ALIMENTOS,Comisaria_3_Familia_Cali,2024,70.0,0.9,11,1,660,1,0,2,656,582.0,Medio
CAL-05951,CALI,VIF,Juzgado_Penal_Municipal_1_Cali,2021,70.0,1.35,10,1,685,1,3,8,656,508.0,Medio
CAL-08362,CALI,ALIMENTOS,Comisaria_3_Familia_Cali,2024,70.0,0.9,11,1,629,1,0,2,656,582.0,Medio
CAL-07098,CALI,HURTO_PATRIMONIAL,Juzgado_1_Familia_Cali,2021,70.0,1.45,12,0,725,1,1,3,653,648.75,Medio
CAL-00797,CALI,ALIMENTOS,Comisaria_3_Familia_Cali,2024,70.0,0.9,10,1,678,1,0,2,652,582.0,Medio
CAL-04498,CALI,ALIMENTOS,Comisaria_3_Familia_Cali,2024,70.0,0.9,10,1,672,1,0,2,652,582.0,Medio
CAL-07002,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2022,70.0,1.15,11,1,708,1,0,9,652,633.0,Medio
CAL-09035,CALI,ALIMENTOS,Comisaria_3_Familia_Cali,2023,70.0,0.9,10,1,694,1,0,2,652,582.0,Medio
CAL-00986,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2021,70.0,1.1,7,1,653,1,0,6,651,624.0,Medio
CAL-04448,CALI,VIF,Juzgado_1_Familia_Cali,2024,70.0,1.45,12,1,573,0,3,3,651,525.5,Medio
CAL-09219,CALI,ALIMENTOS,Juzgado_5_Familia_Cali,2023,70.0,0.95,10,1,658,1,0,7,651,594.0,Medio
CAL-00195,CALI,VIF,Comisaria_1_Familia_Cali,2023,70.0,1.25,12,1,677,1,3,0,650,486.0,Medio
CAL-00954,CALI,ALIMENTOS,Comisaria_3_Familia_Cali,2024,70.0,0.9,13,1,690,1,0,2,650,582.0,Medio
CAL-01764,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2022,70.0,1.15,7,1,686,1,0,9,650,633.0,Medio
CAL-03158,CALI,HURTO_PATRIMONIAL,Juzgado_1_Familia_Cali,2020,70.0,1.45,13,0,714,1,1,3,650,648.75,Medio
CAL-04088,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2022,70.0,1.15,7,1,693,1,0,9,650,633.0,Medio
CAL-04210,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2022,70.0,1.1,11,1,679,1,0,6,650,624.0,Medio
CAL-04463,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2022,70.0,1.1,11,1,698,1,0,6,650,624.0,Medio
CAL-05499,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2022,70.0,1.15,7,1,713,1,0,9,650,633.0,Medio
CAL-06309,CALI,VIF,Comisaria_1_Familia_Cali,2024,70.0,1.25,12,1,679,1,3,0,650,486.0,Medio
CAL-07545,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2022,70.0,1.15,7,1,676,1,0,9,650,633.0,Medio
CAL-05818,CALI,VIF,Juzgado_Penal_Municipal_2_Cali,2021,70.0,1.15,14,1,666,1,3,9,649,483.0,Medio
CAL-09059,CALI,ALIMENTOS,Comisaria_3_Familia_Cali,2021,70.0,0.9,13,1,673,1,0,2,649,582.0,Medio
CAL-00781,CALI,VIF,Juzgado_1_Familia_Cali,2020,70.0,1.45,10,1,686,1,3,3,648,525.5,Medio
CAL-01441,CALI,ALIMENTOS,Juzgado_2_Familia_Cali,2020,70.0,1.3,4,1,715,1,0,4,648,641.0,Medio
CAL-03104,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2020,70.0,1.15,11,1,719,1,0,9,648,633.0,Medio
CAL-03223,CALI,ALIMENTOS,Juzgado_2_Familia_Cali,2020,70.0,1.3,4,1,675,1,0,4,648,641.0,Medio
CAL-03733,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2020,70.0,1.15,11,1,711,1,0,9,648,633.0,Medio
CAL-04767,CALI,SUSTANCIAS,Juzgado_1_Familia_Cali,2021,70.0,1.45,8,1,678,1,2,3,648,558.75,Medio
CAL-06061,CALI,ALIMENTOS,Comisaria_2_Familia_Cali,2021,70.0,1.1,9,1,688,1,0,1,648,622.75,Medio
CAL-09913,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2021,70.0,1.1,13,1,709,1,0,6,648,624.0,Medio
CAL-02824,CALI,ALIMENTOS,Juzgado_2_Familia_Cali,2020,70.0,1.3,3,1,680,1,0,4,647,641.0,Medio
CAL-05711,CALI,ALIMENTOS,Juzgado_2_Familia_Cali,2020,70.0,1.3,3,1,682,1,0,4,647,641.0,Medio
CAL-08364,CALI,ALIMENTOS,Comisaria_3_Familia_Cali,2022,70.0,0.9,11,1,696,1,0,2,647,582.0,Medio
CAL-03750,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2020,70.0,1.1,7,1,644,1,0,6,645,624.0,Medio
CAL-00311,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2_Cali,2023,70.0,1.15,2,1,693,1,1,9,644,620.5,Medio
CAL-00697,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2_Cali,2023,70.0,1.15,2,1,690,1,1,9,644,620.5,Medio
CAL-01722,CALI,VIF,Juzgado_4_Familia_Cali,2023,70.0,1.1,14,1,672,1,3,6,644,471.5,Medio
CAL-02461,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2_Cali,2023,70.0,1.15,2,1,694,1,1,9,644,620.5,Medio
CAL-03498,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2_Cali,2024,70.0,1.15,2,1,610,0,1,9,644,620.5,Medio
CAL-04482,CALI,VIF,Juzgado_4_Familia_Cali,2024,70.0,1.1,14,1,640,1,3,6,644,471.5,Medio
CAL-05308,CALI,VIF,Comisaria_1_Familia_Cali,2021,70.0,1.25,12,1,669,1,3,0,644,486.0,Medio
CAL-07461,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2022,70.0,1.1,12,1,725,1,0,6,644,624.0,Medio
CAL-09088,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2_Cali,2024,70.0,1.15,2,1,692,1,1,9,644,620.5,Medio
CAL-09156,CALI,ALIMENTOS,Comisaria_3_Familia_Cali,2021,70.0,0.9,12,1,649,1,0,2,644,582.0,Medio
CAL-09323,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2_Cali,2024,70.0,1.15,2,1,394,0,1,9,644,620.5,Medio
CAL-09751,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2_Cali,2024,70.0,1.15,2,1,584,0,1,9,644,620.5,Medio
CAL-00130,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2024,70.0,1.1,7,1,669,1,0,6,643,624.0,Medio
CAL-00983,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2_Cali,2023,70.0,1.15,3,1,709,1,1,9,643,620.5,Medio
CAL-01232,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2024,70.0,1.1,7,1,691,1,0,6,643,624.0,Medio
CAL-01434,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2_Cali,2023,70.0,1.15,3,1,708,1,1,9,643,620.5,Medio
CAL-02397,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2024,70.0,1.1,7,1,696,1,0,6,643,624.0,Medio
CAL-02713,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2023,70.0,1.1,7,1,683,1,0,6,643,624.0,Medio
CAL-03290,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2_Cali,2024,70.0,1.15,3,1,706,1,1,9,643,620.5,Medio
CAL-03332,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2_Cali,2024,70.0,1.15,3,1,391,0,1,9,643,620.5,Medio
CAL-04188,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2023,70.0,1.1,7,1,692,1,0,6,643,624.0,Medio
CAL-04300,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2022,70.0,1.15,6,1,673,1,0,9,643,633.0,Medio
CAL-04647,CALI,SUSTANCIAS,Juzgado_1_Familia_Cali,2020,70.0,1.45,9,1,723,1,2,3,643,558.75,Medio
CAL-04700,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2023,70.0,1.1,7,1,667,1,0,6,643,624.0,Medio
CAL-05820,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2024,70.0,1.1,7,1,680,1,0,6,643,624.0,Medio
CAL-06084,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2_Cali,2023,70.0,1.15,3,1,692,1,1,9,643,620.5,Medio
CAL-06393,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2024,70.0,1.1,7,1,654,1,0,6,643,624.0,Medio
CAL-08295,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2022,70.0,1.15,6,1,681,1,0,9,643,633.0,Medio
CAL-09895,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2_Cali,2023,70.0,1.15,3,1,717,1,1,9,643,620.5,Medio
CAL-00358,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2021,70.0,1.1,6,1,681,1,0,6,641,624.0,Medio
CAL-00483,CALI,ALIMENTOS,Comisaria_2_Familia_Cali,2021,70.0,1.1,8,1,676,1,0,1,641,622.75,Medio
CAL-00553,CALI,ALIMENTOS,Comisaria_2_Familia_Cali,2021,70.0,1.1,8,1,692,1,0,1,641,622.75,Medio
CAL-03183,CALI,VIF,Comisaria_2_Familia_Cali,2021,70.0,1.1,12,1,632,1,3,1,641,482.0,Medio
CAL-07000,CALI,ALIMENTOS,Comisaria_2_Familia_Cali,2021,70.0,1.1,8,1,687,1,0,1,641,622.75,Medio
CAL-08013,CALI,SUSTANCIAS,Juzgado_2_Familia_Cali,2022,70.0,1.3,10,1,676,1,2,4,641,526.5,Medio
CAL-00456,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2020,70.0,1.1,6,1,654,1,0,6,640,624.0,Medio
CAL-02267,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2020,70.0,1.1,6,1,687,1,0,6,640,624.0,Medio
CAL-03023,CALI,ALIMENTOS,Comisaria_2_Familia_Cali,2024,70.0,1.1,10,1,718,1,0,1,640,622.75,Medio
CAL-04286,CALI,ALIMENTOS,Juzgado_5_Familia_Cali,2024,70.0,0.95,11,1,697,1,0,7,640,594.0,Medio
CAL-04310,CALI,VIF,Comisaria_1_Familia_Cali,2022,70.0,1.25,12,1,663,1,3,0,640,486.0,Medio
CAL-05889,CALI,ALIMENTOS,Comisaria_2_Familia_Cali,2023,70.0,1.1,10,1,713,1,0,1,640,622.75,Medio
CAL-06423,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2_Cali,2022,70.0,1.15,2,1,692,1,1,9,640,620.5,Medio
CAL-09441,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2020,70.0,1.1,6,1,652,1,0,6,640,624.0,Medio
CAL-00015,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2024,70.0,1.1,10,1,388,0,0,6,639,624.0,Medio
CAL-00359,CALI,VIF,Comisaria_1_Familia_Cali,2023,70.0,1.25,13,1,681,1,3,0,639,486.0,Medio
CAL-00411,CALI,VIF,Juzgado_Penal_Municipal_1_Cali,2020,70.0,1.35,10,1,671,1,3,8,639,508.0,Medio
CAL-00511,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2020,70.0,1.1,8,1,674,1,0,6,639,624.0,Medio
CAL-01068,CALI,SUSTANCIAS,Juzgado_1_Familia_Cali,2022,70.0,1.45,8,1,712,1,2,3,639,558.75,Medio
CAL-01740,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2022,70.0,1.1,6,1,640,1,0,6,639,624.0,Medio
CAL-03241,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2022,70.0,1.1,6,1,679,1,0,6,639,624.0,Medio
CAL-04296,CALI,VIF,Juzgado_Penal_Municipal_1_Cali,2022,70.0,1.35,10,1,663,1,3,8,639,508.0,Medio
CAL-05766,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2023,70.0,1.1,10,1,695,1,0,6,639,624.0,Medio
CAL-06511,CALI,VIF,Comisaria_1_Familia_Cali,2024,70.0,1.25,13,1,671,1,3,0,639,486.0,Medio
CAL-08934,CALI,VIF,Juzgado_Penal_Municipal_2_Cali,2023,70.0,1.15,13,1,648,1,3,9,639,483.0,Medio
CAL-09756,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2024,70.0,1.1,10,1,718,1,0,6,639,624.0,Medio
CAL-00027,CALI,ALIMENTOS,Juzgado_5_Familia_Cali,2021,70.0,0.95,10,1,641,1,0,7,638,594.0,Medio
CAL-00473,CALI,HURTO_PATRIMONIAL,Comisaria_1_Familia_Cali,2024,70.0,1.25,2,1,494,0,1,0,638,627.0,Medio
CAL-00707,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2021,70.0,1.15,7,1,684,1,0,9,638,633.0,Medio
CAL-01758,CALI,HURTO_PATRIMONIAL,Comisaria_1_Familia_Cali,2024,70.0,1.25,2,1,707,1,1,0,638,627.0,Medio
CAL-02730,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2021,70.0,1.15,7,1,675,1,0,9,638,633.0,Medio
CAL-03535,CALI,HURTO_PATRIMONIAL,Comisaria_1_Familia_Cali,2024,70.0,1.25,2,1,708,1,1,0,638,627.0,Medio
CAL-04724,CALI,HURTO_PATRIMONIAL,Comisaria_1_Familia_Cali,2024,70.0,1.25,2,1,694,1,1,0,638,627.0,Medio
CAL-05449,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2_Cali,2022,70.0,1.15,5,1,617,0,1,9,638,620.5,Medio
CAL-05996,CALI,ALIMENTOS,Juzgado_5_Familia_Cali,2021,70.0,0.95,10,1,660,1,0,7,638,594.0,Medio
CAL-08492,CALI,HURTO_PATRIMONIAL,Comisaria_1_Familia_Cali,2023,70.0,1.25,2,1,698,1,1,0,638,627.0,Medio
CAL-09325,CALI,HURTO_PATRIMONIAL,Comisaria_1_Familia_Cali,2023,70.0,1.25,2,1,723,1,1,0,638,627.0,Medio
CAL-09579,CALI,HURTO_PATRIMONIAL,Comisaria_1_Familia_Cali,2023,70.0,1.25,2,1,682,1,1,0,638,627.0,Medio
CAL-09861,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2_Cali,2022,70.0,1.15,5,1,722,1,1,9,638,620.5,Medio
CAL-09871,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2021,70.0,1.15,7,1,666,1,0,9,638,633.0,Medio
CAL-05713,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2020,70.0,1.15,7,1,668,1,0,9,637,633.0,Medio
CAL-06367,CALI,ALIMENTOS,Juzgado_5_Familia_Cali,2022,70.0,0.95,10,1,674,1,0,7,637,594.0,Medio
CAL-07349,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2020,70.0,1.15,7,1,443,0,0,9,637,633.0,Medio
CAL-09019,CALI,ALIMENTOS,Juzgado_5_Familia_Cali,2022,70.0,0.95,10,1,674,1,0,7,637,594.0,Medio
CAL-09253,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2_Cali,2022,70.0,1.15,6,1,701,1,1,9,637,620.5,Medio
CAL-09349,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2_Cali,2022,70.0,1.15,6,1,711,1,1,9,637,620.5,Medio
CAL-00846,CALI,ALIMENTOS,Juzgado_1_Familia_Cali,2020,70.0,1.45,4,1,725,1,0,3,635,622.0,Medio
CAL-01655,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2_Cali,2022,70.0,1.15,3,1,696,1,1,9,635,620.5,Medio
CAL-02111,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2024,70.0,1.15,7,1,664,1,0,9,635,633.0,Medio
CAL-03028,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2_Cali,2022,70.0,1.15,3,1,642,1,1,9,635,620.5,Medio
CAL-03073,CALI,ALIMENTOS,Juzgado_1_Familia_Cali,2022,70.0,1.45,14,0,678,1,0,3,635,622.0,Medio
CAL-03567,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2020,70.0,1.15,6,1,646,1,0,9,635,633.0,Medio
CAL-03873,CALI,ALIMENTOS,Juzgado_1_Familia_Cali,2020,70.0,1.45,4,1,679,1,0,3,635,622.0,Medio
CAL-03959,CALI,ALIMENTOS,Juzgado_1_Familia_Cali,2020,70.0,1.45,4,1,714,1,0,3,635,622.0,Medio
CAL-03982,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2023,70.0,1.15,7,1,703,1,0,9,635,633.0,Medio
CAL-04175,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2024,70.0,1.15,7,1,690,1,0,9,635,633.0,Medio
CAL-05009,CALI,ALIMENTOS,Juzgado_1_Familia_Cali,2020,70.0,1.45,4,1,722,1,0,3,635,622.0,Medio
CAL-07405,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2020,70.0,1.15,6,1,664,1,0,9,635,633.0,Medio
CAL-07748,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2_Cali,2022,70.0,1.15,1,1,659,1,1,9,635,620.5,Medio
CAL-08875,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2023,70.0,1.15,7,1,681,1,0,9,635,633.0,Medio
CAL-08897,CALI,HURTO_PATRIMONIAL,Juzgado_2_Familia_Cali,2022,70.0,1.3,13,0,680,1,1,4,635,625.0,Medio
CAL-09179,CALI,ALIMENTOS,Comisaria_3_Familia_Cali,2020,70.0,0.9,12,1,696,1,0,2,635,582.0,Medio
CAL-09222,CALI,ALIMENTOS,Juzgado_1_Familia_Cali,2022,70.0,1.45,14,0,676,1,0,3,635,622.0,Medio
CAL-02050,CALI,ALIMENTOS,Juzgado_5_Familia_Cali,2020,70.0,0.95,10,1,651,1,0,7,634,594.0,Medio
CAL-05770,CALI,VIF,Juzgado_Penal_Municipal_2_Cali,2024,70.0,1.15,12,1,434,0,3,9,634,483.0,Medio
CAL-07217,CALI,VIF,Juzgado_Penal_Municipal_2_Cali,2024,70.0,1.15,12,1,657,1,3,9,634,483.0,Medio
CAL-00073,CALI,VIF,Juzgado_Penal_Municipal_1_Cali,2020,70.0,1.35,14,1,693,1,3,8,633,508.0,Medio
CAL-01323,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2023,70.0,1.1,6,1,675,1,0,6,633,624.0,Medio
CAL-01591,CALI,HURTO_PATRIMONIAL,Juzgado_5_Familia_Cali,2024,70.0,0.95,7,1,687,1,1,7,633,607.0,Medio
CAL-01863,CALI,HURTO_PATRIMONIAL,Juzgado_5_Familia_Cali,2024,70.0,0.95,7,1,674,1,1,7,633,607.0,Medio
CAL-02753,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2024,70.0,1.1,6,1,645,1,0,6,633,624.0,Medio
CAL-03493,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2023,70.0,1.1,6,1,659,1,0,6,633,624.0,Medio
CAL-03660,CALI,VIF,Juzgado_Penal_Municipal_1_Cali,2023,70.0,1.35,10,1,559,0,3,8,633,508.0,Medio
CAL-03994,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2023,70.0,1.1,6,1,678,1,0,6,633,624.0,Medio
CAL-04084,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2_Cali,2024,70.0,1.15,5,1,726,1,1,9,633,620.5,Medio
CAL-04099,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2024,70.0,1.1,6,1,699,1,0,6,633,624.0,Medio
CAL-05135,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2_Cali,2023,70.0,1.15,5,1,708,1,1,9,633,620.5,Medio
CAL-05520,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2_Cali,2024,70.0,1.15,5,1,404,0,1,9,633,620.5,Medio
CAL-06749,CALI,VIF,Juzgado_Penal_Municipal_1_Cali,2023,70.0,1.35,10,1,665,1,3,8,633,508.0,Medio
CAL-07443,CALI,ALIMENTOS,Comisaria_2_Familia_Cali,2024,70.0,1.1,14,1,708,1,0,1,633,622.75,Medio
CAL-07610,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2023,70.0,1.1,6,1,642,1,0,6,633,624.0,Medio
CAL-07949,CALI,HURTO_PATRIMONIAL,Juzgado_5_Familia_Cali,2024,70.0,0.95,7,1,677,1,1,7,633,607.0,Medio
CAL-08453,CALI,HURTO_PATRIMONIAL,Juzgado_5_Familia_Cali,2023,70.0,0.95,7,1,687,1,1,7,633,607.0,Medio
CAL-09224,CALI,VIF,Comisaria_3_Familia_Cali,2023,70.0,0.9,14,1,628,1,3,2,633,441.0,Medio
CAL-05448,CALI,VIF,Juzgado_2_Familia_Cali,2022,70.0,1.3,17,1,724,1,3,4,632,506.0,Medio
CAL-07529,CALI,ALIMENTOS,Comisaria_2_Familia_Cali,2020,70.0,1.1,8,1,667,1,0,1,632,622.75,Medio
CAL-00009,CALI,ALIMENTOS,Juzgado_1_Familia_Cali,2020,70.0,1.45,1,1,674,1,0,3,631,622.0,Medio
CAL-01056,CALI,ALIMENTOS,Juzgado_1_Familia_Cali,2020,70.0,1.45,1,1,700,1,0,3,631,622.0,Medio
CAL-02580,CALI,VIF,Juzgado_3_Familia_Cali,2022,70.0,1.2,12,1,649,1,3,5,631,514.0,Medio
CAL-03506,CALI,VIF,Juzgado_3_Familia_Cali,2022,70.0,1.2,12,1,665,1,3,5,631,514.0,Medio
CAL-01642,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2_Cali,2024,70.0,1.15,6,1,544,0,1,9,630,620.5,Medio
CAL-01960,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2_Cali,2023,70.0,1.15,6,1,714,1,1,9,630,620.5,Medio
CAL-03985,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2_Cali,2023,70.0,1.15,6,1,489,0,1,9,630,620.5,Medio
CAL-04955,CALI,ALIMENTOS,Juzgado_5_Familia_Cali,2021,70.0,0.95,11,1,681,1,0,7,630,594.0,Medio
CAL-00649,CALI,HURTO_PATRIMONIAL,Comisaria_1_Familia_Cali,2023,70.0,1.25,3,1,724,1,1,0,629,627.0,Medio
