expediente_id,municipio,tipo_proceso,despacho,anio_radicacion,ivf_score,carga_despacho,n_audiencias,apelacion,duracion_dias,terminado
CAL-00111,CALI,VIF,Juzgado_Penal_Municipal_1_Cali,2022,70.0,1.35,5,0,465,1
CAL-00112,CALI,ALIMENTOS,Comisaria_1_Familia_Cali,2024,70.0,1.25,5,0,526,1
CAL-00113,CALI,HURTO_PATRIMONIAL,Comisaria_2_Familia_Cali,2021,70.0,1.1,3,0,505,1
CAL-00114,CALI,VIF,Juzgado_5_Familia_Cali,2021,70.0,0.95,4,0,203,0
CAL-00115,CALI,VIF,Juzgado_3_Familia_Cali,2020,70.0,1.2,4,0,440,1
CAL-00116,CALI,SUSTANCIAS,Comisaria_2_Familia_Cali,2023,70.0,1.1,5,1,604,1
CAL-00117,CALI,VIF,Juzgado_1_Familia_Cali,2023,70.0,1.45,1,1,476,0
CAL-00118,CALI,VIF,Comisaria_3_Familia_Cali,2022,70.0,0.9,7,0,392,1
CAL-00119,CALI,VIF,Juzgado_3_Familia_Cali,2022,70.0,1.2,7,1,627,1
CAL-00120,CALI,HURTO_PATRIMONIAL,Juzgado_5_Familia_Cali,2024,70.0,0.95,8,0,563,1
CAL-00121,CALI,VIF,Juzgado_Penal_Municipal_1_Cali,2024,70.0,1.35,7,0,496,1
CAL-00122,CALI,SUSTANCIAS,Juzgado_2_Familia_Cali,2022,70.0,1.3,7,0,516,1
CAL-00123,CALI,VIF,Comisaria_3_Familia_Cali,2021,70.0,0.9,2,1,525,1
CAL-00124,CALI,VIF,Comisaria_1_Familia_Cali,2022,70.0,1.25,8,0,395,0
CAL-00125,CALI,ALIMENTOS,Comisaria_2_Familia_Cali,2021,70.0,1.1,7,1,323,0
CAL-00126,CALI,ALIMENTOS,Juzgado_Penal_Municipal_1_Cali,2023,70.0,1.35,2,1,666,1
CAL-00127,CALI,VIF,Juzgado_1_Familia_Cali,2021,70.0,1.45,1,0,198,0
CAL-00128,CALI,SUSTANCIAS,Juzgado_Penal_Municipal_1_Cali,2021,70.0,1.35,2,0,459,1
CAL-00129,CALI,VIF,Comisaria_2_Familia_Cali,2024,70.0,1.1,4,1,584,1
CAL-00130,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2024,70.0,1.1,7,1,669,1
CAL-00131,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2024,70.0,1.15,3,0,497,1
CAL-00132,CALI,SUSTANCIAS,Juzgado_Penal_Municipal_2_Cali,2023,70.0,1.15,5,0,457,1
CAL-00133,CALI,VIF,Juzgado_Penal_Municipal_1_Cali,2023,70.0,1.35,2,0,447,1
CAL-00134,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_1_Cali,2024,70.0,1.35,4,0,611,1
CAL-00135,CALI,ALIMENTOS,Comisaria_1_Familia_Cali,2022,70.0,1.25,4,1,716,1
CAL-00136,CALI,ALIMENTOS,Juzgado_1_Familia_Cali,2020,70.0,1.45,4,0,591,1
CAL-00137,CALI,VIF,Juzgado_1_Familia_Cali,2024,70.0,1.45,6,0,520,1
CAL-00138,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_1_Cali,2024,70.0,1.35,5,0,610,1
CAL-00139,CALI,VIF,Comisaria_2_Familia_Cali,2020,70.0,1.1,3,1,559,1
CAL-00140,CALI,HURTO_PATRIMONIAL,Comisaria_2_Familia_Cali,2021,70.0,1.1,4,1,670,1
CAL-00141,CALI,ALIMENTOS,Juzgado_3_Familia_Cali,2021,70.0,1.2,9,1,706,1
CAL-00142,CALI,HURTO_PATRIMONIAL,Juzgado_4_Familia_Cali,2023,70.0,1.1,4,1,682,1
CAL-00143,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2020,70.0,1.15,3,0,520,1
CAL-00144,CALI,ALIMENTOS,Juzgado_1_Familia_Cali,2022,70.0,1.45,11,0,641,1
CAL-00145,CALI,SUSTANCIAS,Juzgado_1_Familia_Cali,2021,70.0,1.45,5,0,531,1
CAL-00146,CALI,HURTO_PATRIMONIAL,Juzgado_4_Familia_Cali,2023,70.0,1.1,4,0,510,1
CAL-00147,CALI,ALIMENTOS,Juzgado_Penal_Municipal_1_Cali,2022,70.0,1.35,1,0,505,1
CAL-00148,CALI,HURTO_PATRIMONIAL,Comisaria_3_Familia_Cali,2022,70.0,0.9,4,1,653,1
CAL-00149,CALI,HURTO_PATRIMONIAL,Juzgado_2_Familia_Cali,2024,70.0,1.3,2,0,590,1
CAL-00150,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_1_Cali,2020,70.0,1.35,12,0,706,1
CAL-00151,CALI,ALIMENTOS,Comisaria_1_Familia_Cali,2023,70.0,1.25,8,0,267,0
CAL-00152,CALI,ALIMENTOS,Comisaria_1_Familia_Cali,2022,70.0,1.25,7,1,717,1
CAL-00153,CALI,ALIMENTOS,Juzgado_1_Familia_Cali,2021,70.0,1.45,3,1,722,1
CAL-00154,CALI,HURTO_PATRIMONIAL,Juzgado_2_Familia_Cali,2022,70.0,1.3,2,1,453,0
CAL-00155,CALI,ALIMENTOS,Comisaria_2_Familia_Cali,2021,70.0,1.1,8,0,531,1
CAL-00156,CALI,ALIMENTOS,Comisaria_1_Familia_Cali,2023,70.0,1.25,11,0,623,1
CAL-00157,CALI,VIF,Juzgado_4_Familia_Cali,2022,70.0,1.1,5,0,434,1
CAL-00158,CALI,VIF,Juzgado_Penal_Municipal_2_Cali,2022,70.0,1.15,7,0,470,1
CAL-00159,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2024,70.0,1.1,4,1,490,0
CAL-00160,CALI,ALIMENTOS,Comisaria_3_Familia_Cali,2024,70.0,0.9,1,1,326,0
CAL-00161,CALI,VIF,Juzgado_5_Familia_Cali,2024,70.0,0.95,3,0,405,1
CAL-00162,CALI,ALIMENTOS,Juzgado_1_Familia_Cali,2023,70.0,1.45,3,0,576,1
CAL-00163,CALI,HURTO_PATRIMONIAL,Comisaria_2_Familia_Cali,2022,70.0,1.1,7,0,564,1
CAL-00164,CALI,VIF,Juzgado_3_Familia_Cali,2024,70.0,1.2,12,0,488,1
CAL-00165,CALI,VIF,Comisaria_1_Familia_Cali,2023,70.0,1.25,6,0,457,1
CAL-00166,CALI,VIF,Comisaria_1_Familia_Cali,2023,70.0,1.25,2,1,558,1
CAL-00167,CALI,VIF,Juzgado_4_Familia_Cali,2024,70.0,1.1,1,1,544,1
CAL-00168,CALI,ALIMENTOS,Juzgado_Penal_Municipal_1_Cali,2022,70.0,1.35,7,1,709,1
CAL-00169,CALI,ALIMENTOS,Juzgado_5_Familia_Cali,2022,70.0,0.95,11,0,516,1
CAL-00170,CALI,VIF,Juzgado_4_Familia_Cali,2022,70.0,1.1,4,1,557,1
CAL-00171,CALI,VIF,Juzgado_5_Familia_Cali,2020,70.0,0.95,5,0,371,1
CAL-00172,CALI,VIF,Juzgado_2_Familia_Cali,2022,70.0,1.3,4,0,455,1
CAL-00173,CALI,VIF,Comisaria_2_Familia_Cali,2020,70.0,1.1,9,0,434,1
CAL-00174,CALI,ALIMENTOS,Comisaria_3_Familia_Cali,2021,70.0,0.9,7,1,328,0
CAL-00175,CALI,HURTO_PATRIMONIAL,Comisaria_3_Familia_Cali,2024,70.0,0.9,5,0,484,1
CAL-00176,CALI,HURTO_PATRIMONIAL,Juzgado_5_Familia_Cali,2023,70.0,0.95,2,1,618,1
CAL-00177,CALI,SUSTANCIAS,Juzgado_Penal_Municipal_1_Cali,2020,70.0,1.35,3,0,464,1
CAL-00178,CALI,VIF,Juzgado_2_Familia_Cali,2024,70.0,1.3,3,1,623,1
CAL-00179,CALI,ALIMENTOS,Juzgado_1_Familia_Cali,2022,70.0,1.45,12,0,636,1
CAL-00180,CALI,ALIMENTOS,Comisaria_1_Familia_Cali,2020,70.0,1.25,12,0,610,1
CAL-00181,CALI,HURTO_PATRIMONIAL,Juzgado_2_Familia_Cali,2023,70.0,1.3,1,0,531,1
CAL-00182,CALI,HURTO_PATRIMONIAL,Comisaria_1_Familia_Cali,2024,70.0,1.25,5,0,637,1
CAL-00183,CALI,ALIMENTOS,Juzgado_Penal_Municipal_1_Cali,2023,70.0,1.35,1,1,676,1
CAL-00184,CALI,VIF,Juzgado_5_Familia_Cali,2022,70.0,0.95,8,0,410,1
CAL-00185,CALI,VIF,Juzgado_1_Familia_Cali,2024,70.0,1.45,5,0,514,1
CAL-00186,CALI,ALIMENTOS,Comisaria_3_Familia_Cali,2024,70.0,0.9,2,1,579,1
CAL-00187,CALI,ALIMENTOS,Comisaria_2_Familia_Cali,2023,70.0,1.1,18,0,626,1
CAL-00188,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2024,70.0,1.15,1,1,625,1
CAL-00189,CALI,VIF,Juzgado_Penal_Municipal_2_Cali,2024,70.0,1.15,3,1,581,1
CAL-00190,CALI,HURTO_PATRIMONIAL,Juzgado_1_Familia_Cali,2021,70.0,1.45,9,1,538,0
CAL-00191,CALI,VIF,Juzgado_Penal_Municipal_1_Cali,2024,70.0,1.35,6,0,474,1
CAL-00192,CALI,VIF,Comisaria_2_Familia_Cali,2022,70.0,1.1,6,0,447,1
CAL-00193,CALI,ALIMENTOS,Juzgado_5_Familia_Cali,2024,70.0,0.95,3,1,393,0
CAL-00194,CALI,ALIMENTOS,Juzgado_5_Familia_Cali,2020,70.0,0.95,1,0,430,1
CAL-00195,CALI,VIF,Comisaria_1_Familia_Cali,2023,70.0,1.25,12,1,677,1
CAL-00196,CALI,SUSTANCIAS,Juzgado_Penal_Municipal_1_Cali,2021,70.0,1.35,1,1,580,1
CAL-00197,CALI,SUSTANCIAS,Juzgado_3_Familia_Cali,2024,70.0,1.2,3,0,430,1
CAL-00198,CALI,VIF,Juzgado_Penal_Municipal_1_Cali,2023,70.0,1.35,4,0,457,1
CAL-00199,CALI,VIF,Juzgado_4_Familia_Cali,2024,70.0,1.1,2,0,382,1
CAL-00200,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2022,70.0,1.1,6,0,497,1
CAL-00201,CALI,VIF,Juzgado_1_Familia_Cali,2021,70.0,1.45,3,0,482,1
CAL-00202,CALI,HURTO_PATRIMONIAL,Juzgado_4_Familia_Cali,2024,70.0,1.1,3,0,519,1
CAL-00203,CALI,VIF,Comisaria_1_Familia_Cali,2022,70.0,1.25,2,0,426,1
CAL-00204,CALI,SUSTANCIAS,Comisaria_1_Familia_Cali,2021,70.0,1.25,3,1,604,1
CAL-00205,CALI,VIF,Juzgado_4_Familia_Cali,2022,70.0,1.1,5,0,409,1
CAL-00206,CALI,ALIMENTOS,Juzgado_3_Familia_Cali,2023,70.0,1.2,3,0,498,1
CAL-00207,CALI,ALIMENTOS,Comisaria_2_Familia_Cali,2021,70.0,1.1,3,1,625,1
CAL-00208,CALI,SUSTANCIAS,Juzgado_1_Familia_Cali,2021,70.0,1.45,3,0,486,1
CAL-00209,CALI,HURTO_PATRIMONIAL,Juzgado_3_Familia_Cali,2022,70.0,1.2,9,0,377,0
CAL-00210,CALI,VIF,Comisaria_1_Familia_Cali,2024,70.0,1.25,12,0,531,1
CAL-00211,CALI,HURTO_PATRIMONIAL,Juzgado_5_Familia_Cali,2021,70.0,0.95,1,0,439,1
CAL-00212,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2024,70.0,1.1,7,0,500,1
CAL-00213,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2024,70.0,1.15,9,1,689,1
CAL-00214,CALI,ALIMENTOS,Comisaria_3_Familia_Cali,2023,70.0,0.9,10,0,517,1
CAL-00215,CALI,ALIMENTOS,Comisaria_3_Familia_Cali,2024,70.0,0.9,3,0,434,1
CAL-00216,CALI,HURTO_PATRIMONIAL,Juzgado_3_Familia_Cali,2020,70.0,1.2,1,0,505,1
CAL-00217,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2020,70.0,1.15,9,1,612,0
CAL-00218,CALI,ALIMENTOS,Comisaria_3_Familia_Cali,2023,70.0,0.9,1,0,404,1
CAL-00219,CALI,VIF,Juzgado_Penal_Municipal_2_Cali,2023,70.0,1.15,3,0,280,0
CAL-00220,CALI,SUSTANCIAS,Juzgado_2_Familia_Cali,2021,70.0,1.3,6,0,486,1
CAL-00221,CALI,VIF,Juzgado_Penal_Municipal_1_Cali,2021,70.0,1.35,5,0,405,0
CAL-00222,CALI,VIF,Comisaria_2_Familia_Cali,2024,70.0,1.1,5,0,405,1
CAL-00223,CALI,VIF,Comisaria_2_Familia_Cali,2021,70.0,1.1,4,0,402,1
CAL-00224,CALI,VIF,Juzgado_2_Familia_Cali,2021,70.0,1.3,7,0,481,1
CAL-00225,CALI,VIF,Juzgado_5_Familia_Cali,2023,70.0,0.95,1,0,361,1
CAL-00226,CALI,VIF,Juzgado_5_Familia_Cali,2021,70.0,0.95,4,0,379,1
CAL-00227,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2023,70.0,1.15,9,0,534,1
CAL-00228,CALI,ALIMENTOS,Juzgado_Penal_Municipal_1_Cali,2023,70.0,1.35,1,1,665,1
CAL-00229,CALI,SUSTANCIAS,Juzgado_4_Familia_Cali,2022,70.0,1.1,9,1,644,1
CAL-00230,CALI,ALIMENTOS,Comisaria_2_Familia_Cali,2020,70.0,1.1,1,1,632,1
CAL-00231,CALI,VIF,Juzgado_3_Familia_Cali,2020,70.0,1.2,11,0,514,1
CAL-00232,CALI,HURTO_PATRIMONIAL,Juzgado_3_Familia_Cali,2023,70.0,1.2,9,0,597,1
CAL-00233,CALI,VIF,Juzgado_4_Familia_Cali,2021,70.0,1.1,2,1,556,1
CAL-00234,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_1_Cali,2024,70.0,1.35,2,0,400,0
CAL-00235,CALI,HURTO_PATRIMONIAL,Comisaria_2_Familia_Cali,2023,70.0,1.1,1,1,309,0
CAL-00236,CALI,HURTO_PATRIMONIAL,Comisaria_1_Familia_Cali,2023,70.0,1.25,5,0,587,1
CAL-00237,CALI,HURTO_PATRIMONIAL,Juzgado_5_Familia_Cali,2023,70.0,0.95,7,0,432,0
CAL-00238,CALI,SUSTANCIAS,Comisaria_3_Familia_Cali,2024,70.0,0.9,3,1,553,1
CAL-00239,CALI,VIF,Juzgado_4_Familia_Cali,2020,70.0,1.1,8,0,430,1
CAL-00240,CALI,HURTO_PATRIMONIAL,Comisaria_1_Familia_Cali,2020,70.0,1.25,3,0,560,1
CAL-00241,CALI,VIF,Juzgado_1_Familia_Cali,2024,70.0,1.45,4,0,483,1
CAL-00242,CALI,HURTO_PATRIMONIAL,Juzgado_5_Familia_Cali,2020,70.0,0.95,1,0,440,1
CAL-00243,CALI,VIF,Juzgado_Penal_Municipal_2_Cali,2021,70.0,1.15,1,0,375,1
CAL-00244,CALI,ALIMENTOS,Juzgado_5_Familia_Cali,2021,70.0,0.95,7,0,380,0
CAL-00245,CALI,VIF,Juzgado_Penal_Municipal_1_Cali,2024,70.0,1.35,15,0,579,1
CAL-00246,CALI,ALIMENTOS,Comisaria_1_Familia_Cali,2024,70.0,1.25,3,0,564,1
CAL-00247,CALI,ALIMENTOS,Comisaria_3_Familia_Cali,2021,70.0,0.9,5,0,441,1
CAL-00248,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2_Cali,2022,70.0,1.15,5,0,594,1
CAL-00249,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_1_Cali,2023,70.0,1.35,6,1,490,0
CAL-00250,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2023,70.0,1.15,5,0,500,1
