municipio,anio,vif_total,inasistencia_total,medidas_proteccion_total,alimentos_familia_total,ivf_score_bruto,ivf_score_ponderado,poblacion,ivf_tasa_100k,nivel_riesgo
AGUAZUL,2023,56,0,0,0,22.400000000000002,0.4,50000,44.8,ALTO
AGUAZUL,2024,47,0,0,0,18.8,0.3,50000,37.6,ALTO
AGUAZUL,2025,39,0,0,0,15.600000000000001,0.2,50000,31.2,ALTO
AGUSTIN CODAZZI,2020,55,0,0,0,22.0,0.3,50000,44.0,ALTO
AGUSTIN CODAZZI,2021,49,0,0,0,19.6,0.3,50000,39.2,ALTO
AGUSTIN CODAZZI,2022,44,0,0,0,17.6,0.3,50000,35.2,ALTO
AGUSTIN CODAZZI,2023,36,0,0,0,14.4,0.2,50000,28.8,ALTO
AGUSTIN CODAZZI,2024,65,0,0,0,26.0,0.4,50000,52.0,ALTO
AGUSTIN CODAZZI,2025,58,0,0,0,23.200000000000003,0.4,50000,46.4,ALTO
AIPE,2020,1,0,0,0,0.4,0.0,50000,0.8,BAJO
AIPE,2021,9,0,0,0,3.6,0.1,50000,7.2,MEDIO
AIPE,2022,32,0,0,0,12.8,0.2,50000,25.6,ALTO
AIPE,2023,25,0,0,0,10.0,0.2,50000,20.0,ALTO
AIPE,2024,22,0,0,0,8.8,0.1,50000,17.6,MEDIO
AIPE,2025,17,0,0,0,6.800000000000001,0.1,50000,13.6,MEDIO
ALBAN,2020,11,0,0,0,4.4,0.1,50000,8.8,MEDIO
ALBAN,2021,26,0,0,0,10.4,0.2,50000,20.8,ALTO
ALBAN,2022,21,0,0,0,8.4,0.1,50000,16.8,MEDIO
ALBAN,2023,30,0,0,0,12.0,0.2,50000,24.0,ALTO
ALBAN,2024,22,0,0,0,8.8,0.1,50000,17.6,MEDIO
ALBAN,2025,8,0,0,0,3.2,0.0,50000,6.4,BAJO
ALBANIA,2020,3,0,0,0,1.2000000000000002,0.0,50000,2.4,BAJO
ALBANIA,2021,14,0,0,0,5.6000000000000005,0.1,50000,11.2,MEDIO
ALBANIA,2022,6,0,0,0,2.4000000000000004,0.0,50000,4.8,BAJO
ALBANIA,2023,12,0,0,0,4.800000000000001,0.1,50000,9.6,MEDIO
ALBANIA,2024,18,0,0,0,7.2,0.1,50000,14.4,MEDIO
ALBANIA,2025,22,0,0,0,8.8,0.1,50000,17.6,MEDIO
ALCALA,2020,9,0,0,0,3.6,0.1,17200,20.93,MEDIO
ALCALA,2021,15,0,0,0,6.0,0.1,17200,34.88,MEDIO
ALCALA,2022,8,0,0,0,3.2,0.0,17200,18.6,BAJO
ALCALA,2023,23,0,0,0,9.200000000000001,0.1,17200,53.49,MEDIO
ALCALA,2024,37,0,0,0,14.8,0.2,17200,86.05,ALTO
ALCALA,2025,22,0,0,0,8.8,0.1,17200,51.16,MEDIO
ALDANA,2020,4,0,0,0,1.6,0.0,50000,3.2,BAJO
ALDANA,2021,5,0,0,0,2.0,0.0,50000,4.0,BAJO
ALDANA,2022,8,0,0,0,3.2,0.0,50000,6.4,BAJO
ALDANA,2023,9,0,0,0,3.6,0.1,50000,7.2,MEDIO
ALDANA,2024,3,0,0,0,1.2000000000000002,0.0,50000,2.4,BAJO
ALDANA,2025,7,0,0,0,2.8000000000000003,0.0,50000,5.6,BAJO
ALEJANDRIA,2020,2,0,0,0,0.8,0.0,50000,1.6,BAJO
ALEJANDRIA,2021,5,0,0,0,2.0,0.0,50000,4.0,BAJO
ALEJANDRIA,2022,9,0,0,0,3.6,0.1,50000,7.2,MEDIO
ALEJANDRIA,2023,7,0,0,0,2.8000000000000003,0.0,50000,5.6,BAJO
ALEJANDRIA,2024,8,0,0,0,3.2,0.0,50000,6.4,BAJO
ALEJANDRIA,2025,11,0,0,0,4.4,0.1,50000,8.8,MEDIO
ALGARROBO,2020,3,0,0,0,1.2000000000000002,0.0,50000,2.4,BAJO
ALGARROBO,2021,7,0,0,0,2.8000000000000003,0.0,50000,5.6,BAJO
ALGARROBO,2023,4,0,0,0,1.6,0.0,50000,3.2,BAJO
ALGARROBO,2024,9,0,0,0,3.6,0.1,50000,7.2,MEDIO
ALGARROBO,2025,7,0,0,0,2.8000000000000003,0.0,50000,5.6,BAJO
ALGECIRAS,2020,10,0,0,0,4.0,0.1,50000,8.0,MEDIO
ALGECIRAS,2021,12,0,0,0,4.800000000000001,0.1,50000,9.6,MEDIO
ALGECIRAS,2022,13,0,0,0,5.2,0.1,50000,10.4,MEDIO
ALGECIRAS,2023,31,0,0,0,12.4,0.2,50000,24.8,ALTO
ALGECIRAS,2024,24,0,0,0,9.600000000000001,0.1,50000,19.2,MEDIO
ALGECIRAS,2025,35,0,0,0,14.0,0.2,50000,28.0,ALTO
ALMAGUER,2020,8,0,0,0,3.2,0.0,50000,6.4,BAJO
ALMAGUER,2021,6,0,0,0,2.4000000000000004,0.0,50000,4.8,BAJO
ALMAGUER,2022,3,0,0,0,1.2000000000000002,0.0,50000,2.4,BAJO
ALMAGUER,2023,8,0,0,0,3.2,0.0,50000,6.4,BAJO
ALMAGUER,2024,6,0,0,0,2.4000000000000004,0.0,50000,4.8,BAJO
ALMAGUER,2025,4,0,0,0,1.6,0.0,50000,3.2,BAJO
ALMEIDA,2020,5,0,0,0,2.0,0.0,50000,4.0,BAJO
ALMEIDA,2022,1,0,0,0,0.4,0.0,50000,0.8,BAJO
ALMEIDA,2025,1,0,0,0,0.4,0.0,50000,0.8,BAJO
ALPUJARRA,2020,16,0,0,0,6.4,0.1,50000,12.8,MEDIO
ALPUJARRA,2021,13,0,0,0,5.2,0.1,50000,10.4,MEDIO
ALPUJARRA,2022,15,0,0,0,6.0,0.1,50000,12.0,MEDIO
ALPUJARRA,2023,2,0,0,0,0.8,0.0,50000,1.6,BAJO
ALPUJARRA,2024,5,0,0,0,2.0,0.0,50000,4.0,BAJO
ALPUJARRA,2025,13,0,0,0,5.2,0.1,50000,10.4,MEDIO
ALTAMIRA,2020,2,0,0,0,0.8,0.0,50000,1.6,BAJO
ALTAMIRA,2021,1,0,0,0,0.4,0.0,50000,0.8,BAJO
ALTAMIRA,2023,4,0,0,0,1.6,0.0,50000,3.2,BAJO
ALTAMIRA,2024,6,0,0,0,2.4000000000000004,0.0,50000,4.8,BAJO
ALTAMIRA,2025,6,0,0,0,2.4000000000000004,0.0,50000,4.8,BAJO
ALTO BAUDO,2020,1,0,0,0,0.4,0.0,50000,0.8,BAJO
ALTO BAUDO,2024,1,0,0,0,0.4,0.0,50000,0.8,BAJO
ALTO BAUDO,2025,1,0,0,0,0.4,0.0,50000,0.8,BAJO
ALTOS DEL ROSARIO,2020,1,0,0,0,0.4,0.0,50000,0.8,BAJO
ALTOS DEL ROSARIO,2021,1,0,0,0,0.4,0.0,50000,0.8,BAJO
ALTOS DEL ROSARIO,2022,1,0,0,0,0.4,0.0,50000,0.8,BAJO
ALTOS DEL ROSARIO,2024,4,0,0,0,1.6,0.0,50000,3.2,BAJO
ALTOS DEL ROSARIO,2025,1,0,0,0,0.4,0.0,50000,0.8,BAJO
ALVARADO,2020,28,0,0,0,11.200000000000001,0.2,50000,22.4,ALTO
ALVARADO,2021,16,0,0,0,6.4,0.1,50000,12.8,MEDIO
ALVARADO,2022,27,0,0,0,10.8,0.2,50000,21.6,ALTO
ALVARADO,2023,11,0,0,0,4.4,0.1,50000,8.8,MEDIO
ALVARADO,2024,15,0,0,0,6.0,0.1,50000,12.0,MEDIO
ALVARADO,2025,5,0,0,0,2.0,0.0,50000,4.0,BAJO
AMAGA,2020,28,0,0,0,11.200000000000001,0.2,50000,22.4,ALTO
AMAGA,2021,29,0,0,0,11.600000000000001,0.2,50000,23.2,ALTO
AMAGA,2022,47,0,0,0,18.8,0.3,50000,37.6,ALTO
AMAGA,2023,98,0,0,0,39.2,0.6,50000,78.4,ALTO
AMAGA,2024,72,0,0,0,28.8,0.5,50000,57.6,ALTO
AMAGA,2025,42,0,0,0,16.8,0.3,50000,33.6,ALTO
AMALFI,2020,11,0,0,0,4.4,0.1,50000,8.8,MEDIO
AMALFI,2021,12,0,0,0,4.800000000000001,0.1,50000,9.6,MEDIO
AMALFI,2022,9,0,0,0,3.6,0.1,50000,7.2,MEDIO
AMALFI,2023,19,0,0,0,7.6000000000000005,0.1,50000,15.2,MEDIO
AMALFI,2024,14,0,0,0,5.6000000000000005,0.1,50000,11.2,MEDIO
AMALFI,2025,14,0,0,0,5.6000000000000005,0.1,50000,11.2,MEDIO
AMBALEMA,2020,14,0,0,0,5.6000000000000005,0.1,50000,11.2,MEDIO
AMBALEMA,2021,20,0,0,0,8.0,0.1,50000,16.0,MEDIO
AMBALEMA,2022,27,0,0,0,10.8,0.2,50000,21.6,ALTO
AMBALEMA,2023,11,0,0,0,4.4,0.1,50000,8.8,MEDIO
AMBALEMA,2024,11,0,0,0,4.4,0.1,50000,8.8,MEDIO
AMBALEMA,2025,10,0,0,0,4.0,0.1,50000,8.0,MEDIO
ANAPOIMA,2020,70,0,0,0,28.0,0.4,50000,56.0,ALTO
ANAPOIMA,2021,53,0,0,0,21.200000000000003,0.3,50000,42.4,ALTO
ANAPOIMA,2022,35,0,0,0,14.0,0.2,50000,28.0,ALTO
ANAPOIMA,2023,41,0,0,0,16.400000000000002,0.3,50000,32.8,ALTO
ANAPOIMA,2024,35,0,0,0,14.0,0.2,50000,28.0,ALTO
ANAPOIMA,2025,15,0,0,0,6.0,0.1,50000,12.0,MEDIO
ANCUYA,2020,2,0,0,0,0.8,0.0,50000,1.6,BAJO
ANCUYA,2021,8,0,0,0,3.2,0.0,50000,6.4,BAJO
ANCUYA,2022,3,0,0,0,1.2000000000000002,0.0,50000,2.4,BAJO
ANCUYA,2023,7,0,0,0,2.8000000000000003,0.0,50000,5.6,BAJO
ANCUYA,2024,11,0,0,0,4.4,0.1,50000,8.8,MEDIO
ANCUYA,2025,12,0,0,0,4.800000000000001,0.1,50000,9.6,MEDIO
ANDALUCIA,2020,10,0,0,0,4.0,0.1,19800,20.2,MEDIO
ANDALUCIA,2021,36,0,0,0,14.4,0.2,19800,72.73,ALTO
ANDALUCIA,2022,22,0,0,0,8.8,0.1,19800,44.44,MEDIO
ANDALUCIA,2023,59,0,0,0,23.6,0.4,19800,119.19,ALTO
ANDALUCIA,2024,40,0,0,0,16.0,0.3,19800,80.81,ALTO
ANDALUCIA,2025,32,0,0,0,12.8,0.2,19800,64.65,ALTO
ANDES,2020,48,0,0,0,19.200000000000003,0.3,50000,38.4,ALTO
ANDES,2021,56,0,0,0,22.400000000000002,0.4,50000,44.8,ALTO
ANDES,2022,50,0,0,0,20.0,0.3,50000,40.0,ALTO
ANDES,2023,65,0,0,0,26.0,0.4,50000,52.0,ALTO
ANDES,2024,58,0,0,0,23.200000000000003,0.4,50000,46.4,ALTO
ANDES,2025,40,0,0,0,16.0,0.3,50000,32.0,ALTO
ANGELOPOLIS,2020,8,0,0,0,3.2,0.0,50000,6.4,BAJO
ANGELOPOLIS,2021,16,0,0,0,6.4,0.1,50000,12.8,MEDIO
ANGELOPOLIS,2022,10,0,0,0,4.0,0.1,50000,8.0,MEDIO
ANGELOPOLIS,2023,15,0,0,0,6.0,0.1,50000,12.0,MEDIO
ANGELOPOLIS,2024,21,0,0,0,8.4,0.1,50000,16.8,MEDIO
ANGELOPOLIS,2025,12,0,0,0,4.800000000000001,0.1,50000,9.6,MEDIO
ANGOSTURA,2020,2,0,0,0,0.8,0.0,50000,1.6,BAJO
ANGOSTURA,2021,15,0,0,0,6.0,0.1,50000,12.0,MEDIO
ANGOSTURA,2022,4,0,0,0,1.6,0.0,50000,3.2,BAJO
ANGOSTURA,2023,11,0,0,0,4.4,0.1,50000,8.8,MEDIO
ANGOSTURA,2024,12,0,0,0,4.800000000000001,0.1,50000,9.6,MEDIO
ANGOSTURA,2025,12,0,0,0,4.800000000000001,0.1,50000,9.6,MEDIO
ANOLAIMA,2020,7,0,0,0,2.8000000000000003,0.0,50000,5.6,BAJO
ANOLAIMA,2021,24,0,0,0,9.600000000000001,0.1,50000,19.2,MEDIO
ANOLAIMA,2022,25,0,0,0,10.0,0.2,50000,20.0,ALTO
ANOLAIMA,2023,24,0,0,0,9.600000000000001,0.1,50000,19.2,MEDIO
ANOLAIMA,2024,20,0,0,0,8.0,0.1,50000,16.0,MEDIO
ANOLAIMA,2025,9,0,0,0,3.6,0.1,50000,7.2,MEDIO
ANORI,2020,10,0,0,0,4.0,0.1,50000,8.0,MEDIO
ANORI,2021,18,0,0,0,7.2,0.1,50000,14.4,MEDIO
ANORI,2022,29,0,0,0,11.600000000000001,0.2,50000,23.2,ALTO
ANORI,2023,31,0,0,0,12.4,0.2,50000,24.8,ALTO
ANORI,2024,29,0,0,0,11.600000000000001,0.2,50000,23.2,ALTO
ANORI,2025,13,0,0,0,5.2,0.1,50000,10.4,MEDIO
ANORI,9999,0,1,1,0,0.30000000000000004,0.0,50000,0.6,BAJO
ANSERMA,2020,27,0,0,0,10.8,0.2,50000,21.6,ALTO
ANSERMA,2021,34,0,0,0,13.600000000000001,0.2,50000,27.2,ALTO
ANSERMA,2022,20,0,0,0,8.0,0.1,50000,16.0,MEDIO
ANSERMA,2023,31,0,0,0,12.4,0.2,50000,24.8,ALTO
ANSERMA,2024,25,0,0,0,10.0,0.2,50000,20.0,ALTO
ANSERMA,2025,9,0,0,0,3.6,0.1,50000,7.2,MEDIO
ANSERMANUEVO,2021,6,0,0,0,2.4000000000000004,0.0,16300,14.72,BAJO
ANSERMANUEVO,2022,10,0,0,0,4.0,0.1,16300,24.54,MEDIO
ANSERMANUEVO,2023,14,0,0,0,5.6000000000000005,0.1,16300,34.36,MEDIO
ANSERMANUEVO,2024,16,0,0,0,6.4,0.1,16300,39.26,MEDIO
ANSERMANUEVO,2025,14,0,0,0,5.6000000000000005,0.1,16300,34.36,MEDIO
ANZA,2020,5,0,0,0,2.0,0.0,50000,4.0,BAJO
ANZA,2021,1,0,0,0,0.4,0.0,50000,0.8,BAJO
ANZA,2022,4,0,0,0,1.6,0.0,50000,3.2,BAJO
ANZA,2023,5,0,0,0,2.0,0.0,50000,4.0,BAJO
ANZA,2024,12,0,0,0,4.800000000000001,0.1,50000,9.6,MEDIO
ANZA,2025,13,0,0,0,5.2,0.1,50000,10.4,MEDIO
ANZOATEGUI,2020,11,0,0,0,4.4,0.1,50000,8.8,MEDIO
ANZOATEGUI,2021,27,0,0,0,10.8,0.2,50000,21.6,ALTO
ANZOATEGUI,2022,29,0,0,0,11.600000000000001,0.2,50000,23.2,ALTO
ANZOATEGUI,2023,21,0,0,0,8.4,0.1,50000,16.8,MEDIO
ANZOATEGUI,2024,13,0,0,0,5.2,0.1,50000,10.4,MEDIO
ANZOATEGUI,2025,5,0,0,0,2.0,0.0,50000,4.0,BAJO
APARTADO,2020,149,0,0,0,59.6,1.0,50000,119.2,ALTO
APARTADO,2021,212,0,0,0,84.80000000000001,1.4,50000,169.6,ALTO
APARTADO,2022,143,0,0,0,57.2,0.9,50000,114.4,ALTO
APARTADO,2023,131,0,0,0,52.400000000000006,0.8,50000,104.8,ALTO
APARTADO,2024,179,0,0,0,71.60000000000001,1.1,50000,143.2,ALTO
APARTADO,2025,262,0,0,0,104.80000000000001,1.7,50000,209.6,ALTO
APIA,2020,29,0,0,0,11.600000000000001,0.2,50000,23.2,ALTO
APIA,2021,36,0,0,0,14.4,0.2,50000,28.8,ALTO
APIA,2022,25,0,0,0,10.0,0.2,50000,20.0,ALTO
APIA,2023,54,0,0,0,21.6,0.3,50000,43.2,ALTO
APIA,2024,22,0,0,0,8.8,0.1,50000,17.6,MEDIO
APIA,2025,25,0,0,0,10.0,0.2,50000,20.0,ALTO
APULO,2020,16,0,0,0,6.4,0.1,50000,12.8,MEDIO
APULO,2021,18,0,0,0,7.2,0.1,50000,14.4,MEDIO
APULO,2022,4,0,0,0,1.6,0.0,50000,3.2,BAJO
APULO,2023,18,0,0,0,7.2,0.1,50000,14.4,MEDIO
APULO,2024,9,0,0,0,3.6,0.1,50000,7.2,MEDIO
APULO,2025,7,0,0,0,2.8000000000000003,0.0,50000,5.6,BAJO
AQUITANIA,2020,7,0,0,0,2.8000000000000003,0.0,50000,5.6,BAJO
AQUITANIA,2021,7,0,0,0,2.8000000000000003,0.0,50000,5.6,BAJO
AQUITANIA,2022,7,0,0,0,2.8000000000000003,0.0,50000,5.6,BAJO
AQUITANIA,2023,13,0,0,0,5.2,0.1,50000,10.4,MEDIO
AQUITANIA,2024,14,0,0,0,5.6000000000000005,0.1,50000,11.2,MEDIO
AQUITANIA,2025,57,0,0,0,22.8,0.4,50000,45.6,ALTO
ARACATACA,2020,13,0,0,0,5.2,0.1,50000,10.4,MEDIO
ARACATACA,2021,27,0,0,0,10.8,0.2,50000,21.6,ALTO
ARACATACA,2022,16,0,0,0,6.4,0.1,50000,12.8,MEDIO
ARACATACA,2023,26,0,0,0,10.4,0.2,50000,20.8,ALTO
ARACATACA,2024,49,0,0,0,19.6,0.3,50000,39.2,ALTO
ARACATACA,2025,37,0,0,0,14.8,0.2,50000,29.6,ALTO
ARANZAZU,2020,21,0,0,0,8.4,0.1,50000,16.8,MEDIO
ARANZAZU,2021,7,0,0,0,2.8000000000000003,0.0,50000,5.6,BAJO
ARANZAZU,2022,6,0,0,0,2.4000000000000004,0.0,50000,4.8,BAJO
ARANZAZU,2023,4,0,0,0,1.6,0.0,50000,3.2,BAJO
ARANZAZU,2024,2,0,0,0,0.8,0.0,50000,1.6,BAJO
ARANZAZU,2025,4,0,0,0,1.6,0.0,50000,3.2,BAJO
ARATOCA,2020,2,0,0,0,0.8,0.0,50000,1.6,BAJO
ARATOCA,2021,2,0,0,0,0.8,0.0,50000,1.6,BAJO
ARATOCA,2022,2,0,0,0,0.8,0.0,50000,1.6,BAJO
ARATOCA,2023,2,0,0,0,0.8,0.0,50000,1.6,BAJO
ARATOCA,2024,7,0,0,0,2.8000000000000003,0.0,50000,5.6,BAJO
ARATOCA,2025,6,0,0,0,2.4000000000000004,0.0,50000,4.8,BAJO
ARAUCA,2020,129,0,0,0,51.6,0.8,50000,103.2,ALTO
ARAUCA,2021,99,0,0,0,39.6,0.6,50000,79.2,ALTO
ARAUCA,2022,117,0,0,0,46.800000000000004,0.7,50000,93.6,ALTO
ARAUCA,2023,90,0,0,0,36.0,0.6,50000,72.0,ALTO
ARAUCA,2024,76,0,0,0,30.400000000000002,0.5,50000,60.8,ALTO
ARAUCA (CT),2020,84,0,0,0,33.6,0.5,50000,67.2,ALTO
ARAUCA (CT),2021,125,0,0,0,50.0,0.8,50000,100.0,ALTO
ARAUCA (CT),2022,86,0,0,0,34.4,0.5,50000,68.8,ALTO
ARAUCA (CT),2023,56,0,0,0,22.400000000000002,0.4,50000,44.8,ALTO
ARAUCA (CT),2024,102,0,0,0,40.800000000000004,0.6,50000,81.6,ALTO
ARAUCA (CT),2025,136,0,0,0,54.400000000000006,0.9,50000,108.8,ALTO
ARAUQUITA,2020,25,0,0,0,10.0,0.2,50000,20.0,ALTO
ARAUQUITA,2021,22,0,0,0,8.8,0.1,50000,17.6,MEDIO
ARAUQUITA,2022,14,0,0,0,5.6000000000000005,0.1,50000,11.2,MEDIO
ARAUQUITA,2023,23,0,0,0,9.200000000000001,0.1,50000,18.4,MEDIO
ARAUQUITA,2024,20,0,0,0,8.0,0.1,50000,16.0,MEDIO
ARAUQUITA,2025,20,0,0,0,8.0,0.1,50000,16.0,MEDIO
ARAUQUITA,9999,0,1,1,0,0.30000000000000004,0.0,50000,0.6,BAJO
ARBELAEZ,2020,15,0,0,0,6.0,0.1,50000,12.0,MEDIO
ARBELAEZ,2021,20,0,0,0,8.0,0.1,50000,16.0,MEDIO
ARBELAEZ,2022,17,0,0,0,6.800000000000001,0.1,50000,13.6,MEDIO
ARBELAEZ,2023,27,0,0,0,10.8,0.2,50000,21.6,ALTO
ARBELAEZ,2024,43,0,0,0,17.2,0.3,50000,34.4,ALTO
ARBELAEZ,2025,23,0,0,0,9.200000000000001,0.1,50000,18.4,MEDIO
ARBOLEDA,2020,5,0,0,0,2.0,0.0,50000,4.0,BAJO
ARBOLEDA,2021,2,0,0,0,0.8,0.0,50000,1.6,BAJO
ARBOLEDA,2022,2,0,0,0,0.8,0.0,50000,1.6,BAJO
ARBOLEDA,2023,4,0,0,0,1.6,0.0,50000,3.2,BAJO
ARBOLEDA,2024,9,0,0,0,3.6,0.1,50000,7.2,MEDIO
ARBOLEDA,2025,5,0,0,0,2.0,0.0,50000,4.0,BAJO
ARBOLEDAS,2020,5,0,0,0,2.0,0.0,50000,4.0,BAJO
ARBOLEDAS,2021,2,0,0,0,0.8,0.0,50000,1.6,BAJO
ARBOLEDAS,2022,3,0,0,0,1.2000000000000002,0.0,50000,2.4,BAJO
ARBOLEDAS,2023,4,0,0,0,1.6,0.0,50000,3.2,BAJO
ARBOLEDAS,2024,1,0,0,0,0.4,0.0,50000,0.8,BAJO
ARBOLEDAS,2025,1,0,0,0,0.4,0.0,50000,0.8,BAJO
ARBOLETES,2020,6,0,0,0,2.4000000000000004,0.0,50000,4.8,BAJO
ARBOLETES,2021,10,0,0,0,4.0,0.1,50000,8.0,MEDIO
ARBOLETES,2022,5,0,0,0,2.0,0.0,50000,4.0,BAJO
ARBOLETES,2023,5,0,0,0,2.0,0.0,50000,4.0,BAJO
ARBOLETES,2024,11,0,0,0,4.4,0.1,50000,8.8,MEDIO
ARBOLETES,2025,14,0,0,0,5.6000000000000005,0.1,50000,11.2,MEDIO
ARCABUCO,2020,3,0,0,0,1.2000000000000002,0.0,50000,2.4,BAJO
ARCABUCO,2021,8,0,0,0,3.2,0.0,50000,6.4,BAJO
ARCABUCO,2023,1,0,0,0,0.4,0.0,50000,0.8,BAJO
ARCABUCO,2024,17,0,0,0,6.800000000000001,0.1,50000,13.6,MEDIO
ARCABUCO,2025,15,0,0,0,6.0,0.1,50000,12.0,MEDIO
ARENAL,2020,3,0,0,0,1.2000000000000002,0.0,50000,2.4,BAJO
ARENAL,2021,3,0,0,0,1.2000000000000002,0.0,50000,2.4,BAJO
ARENAL,2022,3,0,0,0,1.2000000000000002,0.0,50000,2.4,BAJO
