expediente_id,municipio,tipo_proceso,despacho,anio_radicacion,ivf_score,carga_despacho,n_audiencias,apelacion,duracion_dias,terminado,tipo_proceso_enc,municipio_enc,despacho_enc,duracion_estimada,p75_duracion,riesgo
EXP-01068,CALI,VIF,Juzgado_Penal_Municipal_1,2023,70.34,1.25,11,0,433,0,3,8,5,480,300.0,Alto
EXP-10482,CALI,VIF,Juzgado_Penal_Municipal_1,2024,70.34,1.25,11,0,546,1,3,8,5,480,300.0,Alto
EXP-06478,CALI,VIF,Juzgado_Penal_Municipal_1,2021,70.34,1.25,12,0,501,1,3,8,5,479,300.0,Alto
EXP-05989,CALI,VIF,Juzgado_2_Familia,2023,70.34,1.2,11,0,511,1,3,8,3,476,309.0,Alto
EXP-06702,CALI,VIF,Juzgado_2_Familia,2024,70.34,1.2,11,0,505,1,3,8,3,476,309.0,Alto
EXP-07995,CALI,VIF,Juzgado_2_Familia,2022,70.34,1.2,11,0,474,1,3,8,3,475,309.0,Alto
EXP-10098,CALI,VIF,Juzgado_Penal_Municipal_1,2024,70.34,1.25,12,0,536,1,3,8,5,474,300.0,Alto
EXP-07357,CALI,VIF,Juzgado_Penal_Municipal_2,2022,70.34,1.05,16,0,537,1,3,8,6,473,272.5,Alto
EXP-03983,CALI,VIF,Juzgado_Penal_Municipal_2,2024,70.34,1.05,18,0,429,0,3,8,6,471,272.5,Alto
EXP-11509,CALI,VIF,Comisaria_1_Familia,2022,70.34,1.1,11,0,490,1,3,8,0,471,286.0,Alto
EXP-02833,CALI,VIF,Comisaria_1_Familia,2020,70.34,1.1,10,0,490,1,3,8,0,470,286.0,Alto
EXP-02913,CALI,SUSTANCIAS,Juzgado_Penal_Municipal_2,2022,70.34,1.05,11,0,532,1,2,8,6,470,283.5,Alto
EXP-07913,CALI,VIF,Juzgado_2_Familia,2023,70.34,1.2,10,0,493,1,3,8,3,470,309.0,Alto
EXP-11356,CALI,VIF,Juzgado_2_Familia,2023,70.34,1.2,10,0,504,1,3,8,3,470,309.0,Alto
EXP-03138,CALI,VIF,Juzgado_2_Familia,2022,70.34,1.2,10,0,500,1,3,8,3,469,309.0,Alto
EXP-01011,CALI,VIF,Juzgado_2_Familia,2021,70.34,1.2,8,0,521,1,3,8,3,468,309.0,Alto
EXP-01869,CALI,VIF,Juzgado_2_Familia,2021,70.34,1.2,8,0,437,1,3,8,3,468,309.0,Alto
EXP-03062,CALI,VIF,Juzgado_2_Familia,2020,70.34,1.2,9,0,454,1,3,8,3,468,309.0,Alto
EXP-08310,CALI,VIF,Juzgado_2_Familia,2021,70.34,1.2,8,0,461,1,3,8,3,468,309.0,Alto
EXP-09394,CALI,VIF,Juzgado_2_Familia,2023,70.34,1.2,12,0,412,0,3,8,3,468,309.0,Alto
EXP-11348,CALI,VIF,Juzgado_2_Familia,2021,70.34,1.2,9,0,524,1,3,8,3,468,309.0,Alto
EXP-06698,CALI,VIF,Juzgado_2_Familia,2020,70.34,1.2,8,0,456,1,3,8,3,467,309.0,Alto
EXP-09822,CALI,VIF,Juzgado_Penal_Municipal_2,2024,70.34,1.05,16,0,533,1,3,8,6,467,272.5,Alto
EXP-02163,CALI,VIF,Juzgado_2_Familia,2022,70.34,1.2,16,0,330,0,3,8,3,466,309.0,Alto
EXP-03733,CALI,VIF,Juzgado_Penal_Municipal_1,2021,70.34,1.25,8,0,468,1,3,8,5,465,300.0,Alto
EXP-08490,CALI,SUSTANCIAS,Comisaria_1_Familia,2022,70.34,1.1,8,0,514,1,2,8,0,465,293.0,Alto
EXP-09832,CALI,VIF,Juzgado_Penal_Municipal_2,2023,70.34,1.05,19,0,556,1,3,8,6,465,272.5,Alto
EXP-11056,CALI,SUSTANCIAS,Juzgado_3_Familia,2024,70.34,0.95,16,0,538,1,2,8,4,465,279.5,Alto
EXP-04643,CALI,VIF,Juzgado_3_Familia,2023,70.34,0.95,17,0,492,1,3,8,4,464,255.75,Alto
EXP-04683,CALI,VIF,Juzgado_2_Familia,2024,70.34,1.2,17,0,556,1,3,8,3,464,309.0,Alto
EXP-04761,CALI,SUSTANCIAS,Comisaria_1_Familia,2024,70.34,1.1,9,0,524,1,2,8,0,464,293.0,Alto
EXP-09362,CALI,VIF,Juzgado_3_Familia,2023,70.34,0.95,16,0,505,1,3,8,4,464,255.75,Alto
EXP-00891,CALI,VIF,Comisaria_1_Familia,2024,70.34,1.1,12,0,486,1,3,8,0,462,286.0,Alto
EXP-01636,CALI,VIF,Comisaria_1_Familia,2022,70.34,1.1,10,0,474,1,3,8,0,462,286.0,Alto
EXP-03092,CALI,VIF,Comisaria_1_Familia,2024,70.34,1.1,12,0,499,1,3,8,0,462,286.0,Alto
EXP-05363,CALI,VIF,Comisaria_1_Familia,2022,70.34,1.1,10,0,482,1,3,8,0,462,286.0,Alto
EXP-09166,CALI,VIF,Comisaria_1_Familia,2022,70.34,1.1,10,0,496,1,3,8,0,462,286.0,Alto
EXP-09604,CALI,VIF,Juzgado_Penal_Municipal_1,2023,70.34,1.25,9,0,453,1,3,8,5,462,300.0,Alto
EXP-01097,CALI,VIF,Juzgado_Penal_Municipal_1,2024,70.34,1.25,8,0,491,1,3,8,5,459,300.0,Alto
EXP-03108,CALI,VIF,Juzgado_Penal_Municipal_1,2024,70.34,1.25,8,0,478,1,3,8,5,459,300.0,Alto
EXP-06918,CALI,VIF,Juzgado_Penal_Municipal_1,2023,70.34,1.25,8,0,400,0,3,8,5,459,300.0,Alto
EXP-07248,CALI,VIF,Juzgado_Penal_Municipal_1,2024,70.34,1.25,8,0,483,1,3,8,5,459,300.0,Alto
EXP-07311,CALI,VIF,Juzgado_Penal_Municipal_1,2024,70.34,1.25,8,0,508,1,3,8,5,459,300.0,Alto
EXP-08252,CALI,SUSTANCIAS,Comisaria_1_Familia,2020,70.34,1.1,7,0,469,1,2,8,0,459,293.0,Alto
EXP-00985,CALI,VIF,Comisaria_1_Familia,2021,70.34,1.1,9,0,453,1,3,8,0,458,286.0,Alto
EXP-02611,CALI,VIF,Juzgado_Penal_Municipal_1,2022,70.34,1.25,9,0,206,0,3,8,5,457,300.0,Alto
EXP-06662,CALI,VIF,Comisaria_1_Familia,2020,70.34,1.1,9,0,468,1,3,8,0,457,286.0,Alto
EXP-06881,CALI,VIF,Comisaria_1_Familia,2023,70.34,1.1,13,0,529,1,3,8,0,456,286.0,Alto
EXP-08846,CALI,VIF,Comisaria_1_Familia,2023,70.34,1.1,13,0,493,1,3,8,0,456,286.0,Alto
EXP-00011,CALI,VIF,Juzgado_3_Familia,2020,70.34,0.95,19,0,353,0,3,8,4,455,255.75,Alto
EXP-07333,CALI,VIF,Juzgado_Penal_Municipal_1,2022,70.34,1.25,8,0,495,1,3,8,5,454,300.0,Alto
EXP-10845,CALI,VIF,Juzgado_Penal_Municipal_1,2022,70.34,1.25,8,0,515,1,3,8,5,454,300.0,Alto
EXP-11144,CALI,VIF,Juzgado_Penal_Municipal_1,2022,70.34,1.25,8,0,501,1,3,8,5,454,300.0,Alto
EXP-00744,CALI,SUSTANCIAS,Juzgado_Penal_Municipal_2,2022,70.34,1.05,13,0,536,1,2,8,6,453,283.5,Alto
EXP-00924,CALI,VIF,Juzgado_Penal_Municipal_2,2020,70.34,1.05,11,0,460,1,3,8,6,453,272.5,Alto
EXP-04911,CALI,VIF,Juzgado_Penal_Municipal_2,2020,70.34,1.05,11,0,479,1,3,8,6,453,272.5,Alto
EXP-08008,CALI,SUSTANCIAS,Juzgado_Penal_Municipal_2,2020,70.34,1.05,8,0,365,0,2,8,6,453,283.5,Alto
EXP-10652,CALI,VIF,Juzgado_3_Familia,2022,70.34,0.95,11,0,469,1,3,8,4,453,255.75,Alto
EXP-00727,CALI,VIF,Juzgado_3_Familia,2024,70.34,0.95,11,0,481,1,3,8,4,450,255.75,Alto
EXP-04173,CALI,VIF,Juzgado_3_Familia,2022,70.34,0.95,12,0,458,1,3,8,4,449,255.75,Alto
EXP-06604,CALI,VIF,Juzgado_3_Familia,2022,70.34,0.95,12,0,475,1,3,8,4,449,255.75,Alto
EXP-06928,CALI,VIF,Juzgado_3_Familia,2022,70.34,0.95,12,0,456,1,3,8,4,449,255.75,Alto
EXP-03328,CALI,VIF,Juzgado_Penal_Municipal_2,2022,70.34,1.05,12,0,415,0,3,8,6,448,272.5,Alto
EXP-03638,CALI,VIF,Juzgado_Penal_Municipal_2,2023,70.34,1.05,11,0,518,1,3,8,6,448,272.5,Alto
EXP-11258,CALI,VIF,Comisaria_1_Familia,2022,70.34,1.1,8,0,476,1,3,8,0,448,286.0,Alto
EXP-02291,CALI,SUSTANCIAS,Comisaria_2_Familia,2024,70.34,0.9,11,0,479,1,2,8,1,447,288.0,Alto
EXP-06319,CALI,SUSTANCIAS,Comisaria_2_Familia,2024,70.34,0.9,11,0,503,1,2,8,1,447,288.0,Alto
EXP-06663,CALI,VIF,Juzgado_3_Familia,2024,70.34,0.95,12,0,466,1,3,8,4,447,255.75,Alto
EXP-09568,CALI,SUSTANCIAS,Comisaria_2_Familia,2021,70.34,0.9,14,0,501,1,2,8,1,447,288.0,Alto
EXP-10016,CALI,SUSTANCIAS,Comisaria_2_Familia,2023,70.34,0.9,11,0,476,1,2,8,1,447,288.0,Alto
EXP-10228,CALI,VIF,Juzgado_Penal_Municipal_2,2021,70.34,1.05,10,0,481,1,3,8,6,446,272.5,Alto
EXP-11188,CALI,VIF,Comisaria_1_Familia,2024,70.34,1.1,9,0,483,1,3,8,0,446,286.0,Alto
EXP-00189,CALI,VIF,Comisaria_1_Familia,2024,70.34,1.1,8,0,482,1,3,8,0,445,286.0,Alto
EXP-05101,CALI,VIF,Comisaria_1_Familia,2024,70.34,1.1,8,0,463,1,3,8,0,445,286.0,Alto
EXP-06303,CALI,SUSTANCIAS,Comisaria_1_Familia,2024,70.34,1.1,7,0,494,1,2,8,0,445,293.0,Alto
EXP-06823,CALI,VIF,Comisaria_1_Familia,2024,70.34,1.1,8,0,322,0,3,8,0,445,286.0,Alto
EXP-07047,CALI,VIF,Comisaria_1_Familia,2023,70.34,1.1,8,0,472,1,3,8,0,445,286.0,Alto
EXP-07708,CALI,SUSTANCIAS,Juzgado_Penal_Municipal_2,2022,70.34,1.05,8,0,484,1,2,8,6,445,283.5,Alto
EXP-10963,CALI,VIF,Comisaria_1_Familia,2023,70.34,1.1,8,0,447,1,3,8,0,445,286.0,Alto
EXP-00914,CALI,VIF,Juzgado_Penal_Municipal_2,2023,70.34,1.05,12,0,536,1,3,8,6,444,272.5,Alto
EXP-06105,CALI,SUSTANCIAS,Juzgado_Penal_Municipal_2,2024,70.34,1.05,9,0,308,0,2,8,6,443,283.5,Alto
EXP-04201,CALI,SUSTANCIAS,Comisaria_2_Familia,2021,70.34,0.9,9,0,436,1,2,8,1,442,288.0,Alto
EXP-11395,CALI,VIF,Juzgado_3_Familia,2024,70.34,0.95,22,0,541,1,3,8,4,442,255.75,Alto
EXP-01028,CALI,VIF,Comisaria_2_Familia,2022,70.34,0.9,18,0,525,1,3,8,1,441,240.0,Alto
EXP-05693,CALI,VIF,Juzgado_Penal_Municipal_2,2024,70.34,1.05,13,0,517,1,3,8,6,441,272.5,Alto
EXP-09715,CALI,SUSTANCIAS,Juzgado_Penal_Municipal_2,2024,70.34,1.05,8,0,482,1,2,8,6,441,283.5,Alto
EXP-10557,CALI,VIF,Juzgado_Penal_Municipal_2,2024,70.34,1.05,13,0,510,1,3,8,6,441,272.5,Alto
EXP-05271,CALI,VIF,Comisaria_1_Familia,2021,70.34,1.1,7,0,451,1,3,8,0,440,286.0,Alto
EXP-05991,CALI,VIF,Comisaria_1_Familia,2021,70.34,1.1,7,0,445,1,3,8,0,440,286.0,Alto
EXP-11970,CALI,SUSTANCIAS,Juzgado_3_Familia,2024,70.34,0.95,9,0,484,1,2,8,4,438,279.5,Alto
EXP-00979,CALI,VIF,Juzgado_Penal_Municipal_2,2021,70.34,1.05,9,0,481,1,3,8,6,435,272.5,Alto
EXP-01599,CALI,VIF,Juzgado_Penal_Municipal_2,2022,70.34,1.05,15,0,385,0,3,8,6,435,272.5,Alto
EXP-07354,CALI,VIF,Comisaria_2_Familia,2022,70.34,0.9,11,0,461,1,3,8,1,435,240.0,Alto
EXP-03992,CALI,SUSTANCIAS,Comisaria_2_Familia,2023,70.34,0.9,10,0,484,1,2,8,1,433,288.0,Alto
EXP-05673,CALI,SUSTANCIAS,Juzgado_3_Familia,2024,70.34,0.95,8,0,476,1,2,8,4,433,279.5,Alto
EXP-02431,CALI,VIF,Comisaria_2_Familia,2023,70.34,0.9,11,0,352,0,3,8,1,431,240.0,Alto
EXP-10367,CALI,VIF,Comisaria_2_Familia,2024,70.34,0.9,11,0,466,1,3,8,1,431,240.0,Alto
EXP-02049,CALI,VIF,Juzgado_3_Familia,2021,70.34,0.95,8,0,443,1,3,8,4,430,255.75,Alto
EXP-11794,CALI,VIF,Comisaria_2_Familia,2021,70.34,0.9,13,0,440,1,3,8,1,430,240.0,Alto
EXP-00422,CALI,VIF,Juzgado_Penal_Municipal_2,2020,70.34,1.05,9,0,451,1,3,8,6,429,272.5,Alto
EXP-05810,CALI,SUSTANCIAS,Juzgado_3_Familia,2021,70.34,0.95,7,0,445,1,2,8,4,429,279.5,Alto
EXP-06925,CALI,SUSTANCIAS,Juzgado_3_Familia,2021,70.34,0.95,7,0,453,1,2,8,4,429,279.5,Alto
EXP-04955,CALI,VIF,Comisaria_2_Familia,2022,70.34,0.9,12,0,443,1,3,8,1,428,240.0,Alto
EXP-01821,CALI,VIF,Juzgado_Penal_Municipal_2,2022,70.34,1.05,9,0,474,1,3,8,6,426,272.5,Alto
EXP-03135,CALI,VIF,Juzgado_Penal_Municipal_2,2022,70.34,1.05,9,0,478,1,3,8,6,426,272.5,Alto
EXP-07990,CALI,VIF,Juzgado_3_Familia,2022,70.34,0.95,9,0,445,1,3,8,4,426,255.75,Alto
EXP-00996,CALI,VIF,Comisaria_2_Familia,2023,70.34,0.9,12,0,479,1,3,8,1,425,240.0,Alto
EXP-02276,CALI,VIF,Comisaria_2_Familia,2024,70.34,0.9,12,0,472,1,3,8,1,425,240.0,Alto
EXP-06160,CALI,VIF,Comisaria_2_Familia,2024,70.34,0.9,12,0,476,1,3,8,1,425,240.0,Alto
EXP-06254,CALI,VIF,Comisaria_2_Familia,2024,70.34,0.9,12,0,473,1,3,8,1,425,240.0,Alto
EXP-00382,CALI,VIF,Juzgado_3_Familia,2024,70.34,0.95,9,0,484,1,3,8,4,424,255.75,Alto
EXP-06767,CALI,VIF,Juzgado_3_Familia,2024,70.34,0.95,9,0,457,1,3,8,4,424,255.75,Alto
EXP-07956,CALI,VIF,Juzgado_Penal_Municipal_2,2024,70.34,1.05,9,0,508,1,3,8,6,423,272.5,Alto
EXP-08728,CALI,VIF,Juzgado_3_Familia,2024,70.34,0.95,15,0,474,1,3,8,4,423,255.75,Alto
EXP-10465,CALI,VIF,Juzgado_Penal_Municipal_2,2023,70.34,1.05,9,0,272,0,3,8,6,423,272.5,Alto
EXP-01651,CALI,VIF,Juzgado_Penal_Municipal_2,2023,70.34,1.05,8,0,442,1,3,8,6,421,272.5,Alto
EXP-05411,CALI,VIF,Juzgado_3_Familia,2022,70.34,0.95,8,0,429,1,3,8,4,421,255.75,Alto
EXP-08154,CALI,VIF,Juzgado_Penal_Municipal_2,2024,70.34,1.05,8,0,411,0,3,8,6,421,272.5,Alto
EXP-06012,CALI,VIF,Comisaria_2_Familia,2023,70.34,0.9,10,0,309,0,3,8,1,419,240.0,Alto
EXP-07348,CALI,VIF,Comisaria_2_Familia,2024,70.34,0.9,10,0,340,0,3,8,1,419,240.0,Alto
EXP-05642,CALI,VIF,Comisaria_2_Familia,2020,70.34,0.9,9,0,420,1,3,8,1,418,240.0,Alto
EXP-09686,CALI,VIF,Juzgado_3_Familia,2024,70.34,0.95,8,0,460,1,3,8,4,418,255.75,Alto
EXP-00326,CALI,VIF,Comisaria_2_Familia,2020,70.34,0.9,8,0,389,1,3,8,1,413,240.0,Alto
EXP-04705,CALI,VIF,Comisaria_2_Familia,2020,70.34,0.9,8,0,437,1,3,8,1,413,240.0,Alto
EXP-00126,CALI,VIF,Comisaria_2_Familia,2024,70.34,0.9,9,0,440,1,3,8,1,408,240.0,Alto
EXP-01814,CALI,VIF,Comisaria_2_Familia,2024,70.34,0.9,9,0,415,1,3,8,1,408,240.0,Alto
EXP-05261,CALI,VIF,Comisaria_2_Familia,2024,70.34,0.9,9,0,480,1,3,8,1,408,240.0,Alto
EXP-07839,CALI,VIF,Comisaria_2_Familia,2023,70.34,0.9,9,0,470,1,3,8,1,408,240.0,Alto
EXP-08301,CALI,VIF,Comisaria_2_Familia,2024,70.34,0.9,9,0,426,1,3,8,1,408,240.0,Alto
EXP-05241,CALI,VIF,Comisaria_2_Familia,2024,70.34,0.9,8,0,420,1,3,8,1,403,240.0,Alto
EXP-00187,CALI,VIF,Juzgado_3_Familia,2022,70.34,0.95,7,0,418,1,3,8,4,401,255.75,Alto
EXP-04456,CALI,VIF,Juzgado_3_Familia,2022,70.34,0.95,7,0,421,1,3,8,4,401,255.75,Alto
EXP-05781,CALI,VIF,Juzgado_3_Familia,2022,70.34,0.95,7,0,342,0,3,8,4,401,255.75,Alto
EXP-09495,CALI,VIF,Juzgado_3_Familia,2022,70.34,0.95,7,0,421,1,3,8,4,401,255.75,Alto
EXP-08098,CALI,VIF,Juzgado_3_Familia,2021,70.34,0.95,5,0,470,1,3,8,4,399,255.75,Alto
EXP-00771,CALI,VIF,Juzgado_3_Familia,2024,70.34,0.95,7,0,444,1,3,8,4,398,255.75,Alto
EXP-04745,CALI,VIF,Juzgado_3_Familia,2023,70.34,0.95,7,0,437,1,3,8,4,398,255.75,Alto
EXP-05047,CALI,VIF,Juzgado_3_Familia,2024,70.34,0.95,7,0,439,1,3,8,4,398,255.75,Alto
EXP-07171,CALI,VIF,Juzgado_3_Familia,2023,70.34,0.95,7,0,257,0,3,8,4,398,255.75,Alto
EXP-07724,CALI,VIF,Juzgado_3_Familia,2023,70.34,0.95,7,0,376,0,3,8,4,398,255.75,Alto
EXP-04859,CALI,VIF,Comisaria_2_Familia,2021,70.34,0.9,7,0,431,1,3,8,1,397,240.0,Alto
EXP-10944,CALI,VIF,Juzgado_3_Familia,2020,70.34,0.95,5,0,392,1,3,8,4,396,255.75,Alto
EXP-03533,CALI,VIF,Juzgado_3_Familia,2021,70.34,0.95,4,0,386,1,3,8,4,393,255.75,Alto
EXP-03872,CALI,VIF,Juzgado_3_Familia,2021,70.34,0.95,4,0,383,1,3,8,4,393,255.75,Alto
EXP-11200,CALI,VIF,Juzgado_3_Familia,2021,70.34,0.95,4,0,397,1,3,8,4,393,255.75,Alto
EXP-11485,CALI,VIF,Juzgado_3_Familia,2021,70.34,0.95,4,0,397,1,3,8,4,393,255.75,Alto
EXP-01461,CALI,VIF,Juzgado_3_Familia,2024,70.34,0.95,5,0,442,1,3,8,4,392,255.75,Alto
EXP-02704,CALI,VIF,Juzgado_3_Familia,2023,70.34,0.95,5,0,421,1,3,8,4,392,255.75,Alto
EXP-04713,CALI,VIF,Juzgado_3_Familia,2024,70.34,0.95,5,0,459,1,3,8,4,392,255.75,Alto
EXP-08306,CALI,VIF,Juzgado_3_Familia,2024,70.34,0.95,5,0,420,1,3,8,4,392,255.75,Alto
EXP-10179,CALI,VIF,Juzgado_3_Familia,2024,70.34,0.95,5,0,450,1,3,8,4,392,255.75,Alto
EXP-05314,CALI,VIF,Juzgado_3_Familia,2022,70.34,0.95,5,0,398,1,3,8,4,391,255.75,Alto
EXP-05393,CALI,VIF,Juzgado_3_Familia,2022,70.34,0.95,5,0,290,0,3,8,4,391,255.75,Alto
EXP-10175,CALI,VIF,Juzgado_3_Familia,2022,70.34,0.95,5,0,429,1,3,8,4,391,255.75,Alto
EXP-00093,CALI,VIF,Juzgado_3_Familia,2020,70.34,0.95,4,0,433,1,3,8,4,390,255.75,Alto
EXP-03573,CALI,VIF,Juzgado_3_Familia,2023,70.34,0.95,6,0,413,1,3,8,4,390,255.75,Alto
EXP-06182,CALI,VIF,Juzgado_3_Familia,2022,70.34,0.95,6,0,430,1,3,8,4,390,255.75,Alto
EXP-07596,CALI,VIF,Juzgado_3_Familia,2020,70.34,0.95,4,0,397,1,3,8,4,390,255.75,Alto
EXP-09959,CALI,VIF,Juzgado_3_Familia,2020,70.34,0.95,4,0,393,1,3,8,4,390,255.75,Alto
EXP-10965,CALI,VIF,Juzgado_3_Familia,2022,70.34,0.95,6,0,406,1,3,8,4,390,255.75,Alto
EXP-10988,CALI,VIF,Juzgado_3_Familia,2022,70.34,0.95,6,0,422,1,3,8,4,390,255.75,Alto
EXP-11290,CALI,VIF,Juzgado_3_Familia,2024,70.34,0.95,6,0,449,1,3,8,4,390,255.75,Alto
EXP-01457,CALI,VIF,Juzgado_3_Familia,2023,70.34,0.95,4,0,402,1,3,8,4,389,255.75,Alto
EXP-05408,CALI,VIF,Juzgado_3_Familia,2024,70.34,0.95,4,0,334,0,3,8,4,389,255.75,Alto
EXP-06463,CALI,VIF,Juzgado_3_Familia,2024,70.34,0.95,4,0,428,1,3,8,4,389,255.75,Alto
EXP-01666,CALI,VIF,Juzgado_3_Familia,2022,70.34,0.95,4,0,421,1,3,8,4,388,255.75,Alto
EXP-02105,CALI,VIF,Juzgado_3_Familia,2022,70.34,0.95,4,0,408,1,3,8,4,388,255.75,Alto
EXP-02114,CALI,VIF,Juzgado_3_Familia,2021,70.34,0.95,3,0,414,1,3,8,4,388,255.75,Alto
EXP-02199,CALI,VIF,Juzgado_3_Familia,2022,70.34,0.95,4,0,404,1,3,8,4,388,255.75,Alto
EXP-04850,CALI,VIF,Juzgado_3_Familia,2021,70.34,0.95,3,0,380,1,3,8,4,388,255.75,Alto
EXP-06538,CALI,VIF,Juzgado_3_Familia,2022,70.34,0.95,4,0,436,1,3,8,4,388,255.75,Alto
EXP-08633,CALI,VIF,Comisaria_2_Familia,2022,70.34,0.9,7,0,418,1,3,8,1,388,240.0,Alto
EXP-09424,CALI,VIF,Comisaria_2_Familia,2022,70.34,0.9,7,0,287,0,3,8,1,388,240.0,Alto
EXP-10693,CALI,VIF,Juzgado_3_Familia,2022,70.34,0.95,4,0,402,1,3,8,4,388,255.75,Alto
EXP-10950,CALI,VIF,Juzgado_3_Familia,2022,70.34,0.95,4,0,417,1,3,8,4,388,255.75,Alto
EXP-04240,CALI,VIF,Juzgado_3_Familia,2020,70.34,0.95,3,0,395,1,3,8,4,385,255.75,Alto
EXP-00084,CALI,VIF,Comisaria_2_Familia,2023,70.34,0.9,7,0,409,1,3,8,1,384,240.0,Alto
EXP-02609,CALI,VIF,Comisaria_2_Familia,2024,70.34,0.9,7,0,449,1,3,8,1,384,240.0,Alto
EXP-02703,CALI,VIF,Comisaria_2_Familia,2023,70.34,0.9,7,0,408,1,3,8,1,384,240.0,Alto
EXP-02970,CALI,VIF,Juzgado_3_Familia,2024,70.34,0.95,3,0,422,1,3,8,4,384,255.75,Alto
EXP-04656,CALI,VIF,Comisaria_2_Familia,2024,70.34,0.9,7,0,179,0,3,8,1,384,240.0,Alto
EXP-05435,CALI,VIF,Juzgado_3_Familia,2023,70.34,0.95,3,0,396,1,3,8,4,384,255.75,Alto
EXP-05669,CALI,VIF,Juzgado_3_Familia,2023,70.34,0.95,3,0,410,1,3,8,4,384,255.75,Alto
EXP-06542,CALI,VIF,Juzgado_3_Familia,2023,70.34,0.95,3,0,410,1,3,8,4,384,255.75,Alto
EXP-06994,CALI,VIF,Juzgado_3_Familia,2023,70.34,0.95,3,0,403,1,3,8,4,384,255.75,Alto
EXP-08579,CALI,VIF,Juzgado_3_Familia,2023,70.34,0.95,3,0,413,1,3,8,4,384,255.75,Alto
EXP-09105,CALI,VIF,Juzgado_3_Familia,2024,70.34,0.95,3,0,401,1,3,8,4,384,255.75,Alto
EXP-09439,CALI,VIF,Juzgado_3_Familia,2023,70.34,0.95,3,0,446,1,3,8,4,384,255.75,Alto
EXP-09790,CALI,VIF,Comisaria_2_Familia,2024,70.34,0.9,7,0,443,1,3,8,1,384,240.0,Alto
