c_digo_dane_departamento,nombre,c_digo_dane_municipio,nombre_1,tipo_municipio_isla_rea_no,categoria_municipio,comisarias_ley_2126_100_000,existencia_de_comisarias,nombre_comisaria,direcci_n_comisara,telefono_de_contacto,horario_de_atenci_n,longitud_de_ubicaci_n_de,latitud_de_ubicaci_n_de_la,coordenadas_de_ubicaci_n,fuente,url_dataset,tipo_ciclo,lat,lon,municipio_norm,departamento_norm
76,VALLE DEL CAUCA,76130,CANDELARIA,Municipio,2,Null,Null,comisaria de familia de buga 2,"calle 10 # 10-55, 3er piso - Edificio Copecan - Villagorgona",(602) 261 5053,L-V 8-5,3395364,"-76,388,031","3°23'43.3""N 76°23'16.9""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,3.395361,-76.388028,CANDELARIA,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76147,CARTAGO,Municipio,2,2,1,Comisaría de Familia 1,Carrera 2 Norte N° 12 – 35,(57+2) 211 41 01/02/03/04 Fax: (57+2) 212 77 84,L-V 8-5,4753833,"-75,914,717","4°45'13.8""N 75°54'53.0""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,4.753833,-75.914722,CARTAGO,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76147,CARTAGO,Municipio,2,Null,Null,Comisaría de Familia 2,"Carrera 1 con calle 37, barrio Campo Alegre, Casa de Justicia",(57+2) 211 41 01/02/03/04 Fax: (57+2) 212 77 84,L-V 8-5,4760180,"-75,934,259","4°45'36.7""N 75°56'03.3""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,4.760194,-75.93425,CARTAGO,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76364,JAMUNDÍ,Municipio,2,2,1,Comisaría Primera,Null,"Tel. 519 0969 Ext. 1056
Cel. 318 796 5216
Correo electrónico:
comisariafamilia@jamundi.gov.co",L-V 8-5,Null,Null,Null,Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,,,JAMUNDI,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76364,JAMUNDÍ,Municipio,2,Null,Null,Comisaría Segunda,Null,"Tel. 519 0969 Ext. 1056
Cel. 321 503 9695
Correo electrónico:
Comisaria.segundajamundi@gmail.com",Null,Null,Null,Null,Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,,,JAMUNDI,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76834,TULUÁ,Municipio,2,3,1,Comisaría de Familia - Casa de Justicia,Carrera 10 # 25-50 Barrio Marandua,"Tel. 233 9300 – 233 9333 Ext. 5037
Correo electrónico:
salud@tulua.gov.co",L-V 8-5,3271999,"-76,535,293","3°16'19.2""N 76°32'07.1""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,3.272,-76.535306,TULUA,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76113,BUGALAGRANDE,Municipio,5,1,1,Comisaria de Familia,Carrera 6 No 5-65 - Barrio El Centro - Parque Principal,3184346466,lunes a jueves de 7:30 a.m. a 12:00 m. y de 1:30 p.m. a 6:00 p.m. Viernes de 7:30 a.m. a 12:00 m. y de 1:30 p.m. a 5:00 p.m.,-76157111,4212227,"4°12'44.0""N 76°09'25.6""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,4.212222,-76.157111,BUGALAGRANDE,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76248,EL CERRITO,Municipio,5,1,1,Comisaria de Familia,"Calle 6 con Carrera 11 esquina - Hotel Club El Paraíso, segundo piso",(+57)3175160790,LUNES A JUEVES: de 7:00 am a 12:00 pm; de 1:30 pm a 5:30 pm                          VIERNES: de 7:00 am a 12:00 pm; de 1:30 pm a 4:30 pm,-76312012,3683380,"3°41'00.2""N 76°18'43.2""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,3.683389,-76.312,EL CERRITO,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76895,ZARZAL,Municipio,5,1,1,Comisaria de Familia,Carrera 9 No. 10 - 36,572219000,Lunes a viernes - 07:30 - 12:00 y 14:00 - 18:00,-76070822,4394859,"4°23'41.5""N 76°04'15.0""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,4.394861,-76.070833,ZARZAL,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76020,ALCALÁ,Municipio,6,1,1,Comisaría de Familia Alcalá,Carrera 8 # 5-35,3112757103,8:00 a 12:00 - 14:00 a 18:00,"4.674880,",-75.781872,"4°40'29.6""N 75°46'54.7""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,4.674889,-75.781861,ALCALA,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76036,ANDALUCÍA,Municipio,6,1,1,Comisaría de Familia Andalucía,Calle 13 # 7-06,NO TIENE,8:00 a 12:00 - 14:00 a 18:00,"4.168814,",-76.166897,"4°10'07.7""N 76°10'00.8""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,4.168806,-76.166889,ANDALUCIA,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76041,ANSERMANUEVO,Municipio,6,1,1,Comisaría de Familia Ansermanuevo,Carrera 4 # 7-09,NO TIENE,8:00 a 12:00 - 14:00 a 18:00,"4.796224,",-75.994012,"4°47'46.4""N 75°59'38.4""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,4.796222,-75.994,ANSERMANUEVO,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76054,ARGELIA,Municipio,6,1,1,Comisaría de Familia Argelia,Carrera 3 # 6-44,3238074955,M-V 7:30 a 18:30,"4.726546,",-76.121303,"4°43'35.6""N 76°07'16.7""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,4.726556,-76.121306,ARGELIA,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76100,BOLÍVAR,Municipio,6,1,1,Comisaría de Familia Bolívar,Carrera 4 # 4-44,2224166,L 8:00 a 12:00 - 14:00 a 18:00 M-V 7:30 a 12:00 - 14:00 a 18:00,"4.337110,",-76.184317,"4°20'13.6""N 76°11'03.5""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,4.337111,-76.184306,BOLIVAR,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76122,CAICEDONIA,Municipio,6,1,1,Comisaría de Familia Caicedonia,Carrera 16 # 7-52,3196354251,7:30 a 12:00 - 13:30 a 17:00  S: 8:00 a 12:00,"4.331265,",-75.829326,"4°19'52.6""N 75°49'45.6""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,4.331278,-75.829333,CAICEDONIA,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76126,CALIMA EL DARIÉN,Municipio,6,1,1,Comisaría de Familia Calima el Darien,Calle 10 # 6-25,3147196640,L-S 8:00 a 12:00 - 14:00 a 18:00,"3.931357,",-76.484182,"3°55'52.9""N 76°29'03.1""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,3.931361,-76.484194,CALIMA EL DARIEN,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76233,DAGUA,Municipio,6,1,1,Comisaría de Familia Dagua,Carrera 11 # 10-02,NO TIENE,8:00 a 17:00,"3.657463,",-76.693671,"3°39'26.9""N 76°41'37.2""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,3.657472,-76.693667,DAGUA,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76243,EL ÁGUILA,Municipio,6,1,1,Comisaría de Familia El Águila,Carrera 3 # 9-02,3128512763-3135093170,M-V 8:00 a 12:00 - 13:30 a 18:00 S: 8:00 a 14:00,"4.908630,",-76.041929,"4°54'31.1""N 76°02'30.9""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,4.908639,-76.041917,EL AGUILA,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76246,EL CAIRO,Municipio,6,1,1,Comisaría de Familia El Cairo,Carrera 5 #  9 Esquina,3205782006,M-V 7:30 a 12:30 -14:00 a 18:00 S: 7:30 a 12:30,"4.762640,",-76.220845,"4°45'45.5""N 76°13'15.0""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,4.762639,-76.220833,EL CAIRO,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76250,EL DOVIO,Municipio,6,1,1,Comisaría de Familia El Dovio,Calle 7 # 6-02,NO TIENE,8:00 a 17:00,"4.511392,",-76.238576,"4°30'41.0""N 76°14'18.9""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,4.511389,-76.238583,EL DOVIO,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76275,FLORIDA,Municipio,6,1,1,Comisaría de Familia Florida,Carrera 20 # 9-20,NO TIENE,8:00 a 17:00,"3.325947,",-76.236135,"3°19'33.4""N 76°14'10.1""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,3.325944,-76.236139,FLORIDA,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76306,GINEBRA,Municipio,6,1,1,Comisaría de Familia Ginebra,Carrera 3 # 4 esquina,NO TIENE,8:00 a 17:00,"3.724164,",-76.269075,"3°43'27.0""N 76°16'08.7""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,3.724167,-76.269083,GINEBRA,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76318,GUACARÍ,Municipio,6,1,1,Comisaría de Familia Guacarí,Calle 4 # 8-16,NO TIENE,8:00 a 17:00,"3.763516,",-76.334208,"3°45'48.7""N 76°20'03.2""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,3.763528,-76.334222,GUACARI,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76377,LA CUMBRE,Municipio,6,1,1,Comisaría de Familia La Cumbre,Calle 1 # 2-32,3156388035,L-V 8:00 a 12:00 - 13:00 a 17:00  - S: 8:00 a 12:00,"3.648326,",-76.567485,"3°38'54.0""N 76°34'03.0""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,3.648333,-76.5675,LA CUMBRE,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76400,LA UNIÓN,Municipio,6,1,1,Comisaría de Familia La Unión,Carrera 15 # 22-28,3183594712,8:00 a 12:00 - 14:00 a 18:00,"4.532557,",-76.102621,"4°31'57.2""N 76°06'09.4""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,4.532556,-76.102611,LA UNION,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76403,LA VICTORIA,Municipio,6,1,1,Comisaría de Familia La Victoria,Carrera 7A # 8-45,3153548244,7:30 a 12:15 - 14:00 a 18:15,"4.523512,",-76.036196,"4°31'24.6""N 76°02'10.3""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,4.5235,-76.036194,LA VICTORIA,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76497,OBANDO,Municipio,6,1,1,Comisaría de Familia Obando,Calle 3 # 1 Esquina,2053123,L-V 8:00 a 12:00 - 14:00 a 18:00,"4.575124,",-75.972117,"4°34'30.5""N 75°58'19.6""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,4.575139,-75.972111,OBANDO,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76563,PRADERA,Municipio,6,1,1,Comisaría de Familia Pradera,Carrera 8 # 7-65,3104248884,8:00 a 12:00 - 14:00 a 18:00,"3.420370,",-76.242187,"3°25'13.3""N 76°14'31.9""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,3.420361,-76.242194,PRADERA,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76606,RESTREPO,Municipio,6,1,1,Comisaría de Familia Restrepo,Calle 10 No 13-90,NO TIENE,8:00 a 17:00,"3.821136,",-76.523415,"3°49'16.1""N 76°31'24.3""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,3.821139,-76.523417,RESTREPO,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76616,RIOFRÍO,Municipio,6,1,1,Comisaría de Familia Riofrío,Carrera 9 # 3-31,3235875729,L-J 7:30 a 17:30  - V: 730 a 16:30,"4.155496,",-76.287320,"4°09'19.8""N 76°17'14.4""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,4.1555,-76.287333,RIOFRIO,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76622,ROLDANILLO,Municipio,6,1,0,Comisaría de Familia Roldanillo,Carrera 7 # 7-17,+57 602 249 0000,L-V 7:30 a 18:00,"4.411128,",-76.154493,"4°24'40.1""N 76°09'16.2""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,4.411139,-76.1545,ROLDANILLO,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76670,SAN PEDRO,Municipio,6,1,1,Comisaría de Familia San Pedro,Calle 5 # 3-85,2238356,7:30 a 12:00 - 1:30 a 18:00,"3.995917,",-76.227561,"3°59'45.3""N 76°13'39.2""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,3.995917,-76.227556,SAN PEDRO,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76736,SEVILLA,Municipio,6,1,1,Comisaría de Familia Sevilla,Calle 51 # 50-10Esquina,3104046103,L-V 8:00 a 12:00 - 14:00 a 18:00  S: 8:00 a 12:00,"4.264879,",-75.934049,"4°15'53.6""N 75°56'02.6""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,4.264889,-75.934056,SEVILLA,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76823,TORO,Municipio,6,1,1,Comisaría de Familia Toro,Calle 1 #3-09,6022210552,24/7,"4.609289,",-76.078633,"4°36'33.4""N 76°04'43.1""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,4.609278,-76.078639,TORO,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76828,TRUJILLO,Municipio,6,1,1,Comisaría de Familia Trujillo,Calle 20 # 19-01,NO TIENE,8:00 a 17:00,"4.212490,",-76.318213,"4°12'45.0""N 76°19'05.6""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,4.2125,-76.318222,TRUJILLO,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76845,ULLOA,Municipio,6,1,1,Comisaría de Familia Ulloa,Calle 5 # 2-07,3217575067,7:30 a 12:30 -  14:00 a 18:00,"4.703437,",-75.737427,"4°42'12.4""N 75°44'14.7""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,4.703444,-75.737417,ULLOA,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76863,VERSALLES,Municipio,6,1,1,Comisaría de Familia Versalles,Calle 9 # 6A - 60,3218388565,L-J 8:00 a 12:00 - 13:00 a 18:00 V: 8:00 a 12:00 - 13:00 a 17:00,"4.575005,",-76.200028,"4°34'30.0""N 76°12'00.1""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,4.575,-76.200028,VERSALLES,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76869,VIJES,Municipio,6,1,1,Comisaría de Familia Ulloa,Carrera 5 # 5-37,602 252028,L-V 08:00 a 12:00 - 14:00 a 18:00  S: 08:00 a 12:00,"3.700802,",-76.442440,"3°42'02.9""N 76°26'32.8""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,3.700806,-76.442444,VIJES,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76890,YOTOCO,Municipio,6,1,1,Comisaría de Familia Yotoco,Calle 6 # 4-08,315 4258330,8:00 a 17:00,"3.860162,",-76.385355,"3°51'36.6""N 76°23'07.3""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,3.860167,-76.385361,YOTOCO,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,Municipio,ESP,Null,Null,Terrón Colorado (Comisaría Primera),Avenida 4 oeste con calle 19,8953512,7:30 am a 12:30 pm Tarde 1:30 pm a 5:30 pm,"-76,558,361","3,450,887","3°27'03.2""N 76°33'30.1""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,3.450889,-76.558361,SANTIAGO DE CALI,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,Municipio,ESP,Null,Null,Fray Damián (Comisaría  Segunda),Calle 13a con carrera 13a,8839956,7:30 am a 12:30 pm Tarde 1:30 pm a 5:30 pm,", -76.527868","3,443,776.00","3°26'37.6""N 76°31'40.3""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,3.443778,-76.527861,SANTIAGO DE CALI,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,Municipio,ESP,Null,Null,Los Guaduales (Comisaría tercera),Carrera 8 norte #70a-16,4406000,7:30 am a 12:30 pm Tarde 1:30 pm a 5:30 pm,"-76,500,798","3,488,743.00","3°29'19.5""N 76°30'02.9""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,3.48875,-76.500806,SANTIAGO DE CALI,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,Municipio,ESP,Null,Null,El Guadual (Comisaría Cuarta),Calle 14B #41a-25,3269352,7:30 am a 12:30 pm Tarde 1:30 pm a 5:30 pm,"-76,527,204","3,415,255","3°24'54.9""N 76°31'37.9""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,3.41525,-76.527194,SANTIAGO DE CALI,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,Municipio,ESP,Null,Null,Siloé I y II (Comisaría Quinta),Calle 2 con carrera 52,5521826 - 5134532,7:30 am a 12:30 pm Tarde 1:30 pm a 5:30 pm,"-76,553,241","3,415,603.00","3°24'56.2""N 76°33'11.7""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,3.415611,-76.55325,SANTIAGO DE CALI,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,Municipio,ESP,Null,Null,Los Mangos (Comisaría Sexta),Calle 73 Con Carrera 26r,4483630,7:30 am a 12:30 pm Tarde 1:30 pm a 5:30 pm,-76.485007,"3,425,812.00","3°25'32.9""N 76°29'06.0""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,3.425806,-76.485,SANTIAGO DE CALI,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,Municipio,ESP,Null,Null,Alfonso López (Comisaria Septíma),Calle 73 Con Carrera 7g,6638255,7:30 am a 12:30 pm Tarde 1:30 pm a 5:30 pm,"-76,480,641","3,460,384","3°27'37.4""N 76°28'50.3""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,3.460389,-76.480639,SANTIAGO DE CALI,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,Municipio,ESP,Null,Null,Villacolombia (Comisaría Octava),Carrera 12E con Calle 49,4139123,7:30 am a 12:30 pm Tarde 1:30 pm a 5:30 pm,"-76,501,559","3,446,415","3°26'47.1""N 76°30'05.6""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,3.446417,-76.501556,SANTIAGO DE CALI,VALLE DEL CAUCA
